Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.8222,0.3542,0.8267,0.5384,0.6667,0.5371,0.9581,0.625,0.9613,4099,17,31,859,2663,32,16,2295,4766,30,18,192
0.8214,0.3542,0.8259,0.5561,0.6667,0.5551,0.9331,0.625,0.9361,4095,17,31,863,2752,32,16,2206,4641,30,18,317
0.8166,0.375,0.8209,0.5384,0.7292,0.5365,0.9421,0.5833,0.9455,4070,18,30,888,2660,35,13,2298,4688,28,20,270
0.8216,0.2917,0.8267,0.5579,0.75,0.5561,0.9403,0.5208,0.9443,4099,14,34,859,2757,36,12,2201,4682,25,23,276
0.8124,0.2708,0.8177,0.5429,0.7083,0.5413,0.9327,0.6875,0.9351,4054,13,35,904,2684,34,14,2274,4636,33,15,322
0.8182,0.4375,0.8219,0.5364,0.8125,0.5337,0.9489,0.5625,0.9526,4075,21,27,883,2646,39,9,2312,4723,27,21,235
0.8242,0.3333,0.829,0.5372,0.7083,0.5355,0.9487,0.625,0.9518,4110,16,32,848,2655,34,14,2303,4719,30,18,239
0.8192,0.3333,0.8239,0.5423,0.7292,0.5405,0.9525,0.5417,0.9564,4085,16,32,873,2680,35,13,2278,4742,26,22,216
0.8266,0.4167,0.8306,0.5414,0.7708,0.5391,0.9365,0.6667,0.9391,4118,20,28,840,2673,37,11,2285,4656,32,16,302
0.8126,0.375,0.8169,0.5527,0.75,0.5508,0.9325,0.6042,0.9357,4050,18,30,908,2731,36,12,2227,4639,29,19,319
0.8258,0.3958,0.83,0.5499,0.7083,0.5484,0.9295,0.6667,0.932,4115,19,29,843,2719,34,14,2239,4621,32,16,337
