Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
VC11,5,0.1,0.951,0.333,0.961,0.647,0.989,0.159
VC1,5,0.2,0.907,0.359,0.916,0.637,0.989,0.086
VC2,5,0.2,0.917,0.366,0.926,0.646,0.989,0.1
VC3,5,0.2,0.838,0.454,0.844,0.649,0.99,0.055
VC4,5,0.2,0.895,0.399,0.903,0.651,0.989,0.083
VC5,5,0.2,0.826,0.469,0.831,0.65,0.99,0.052
VC6,5,0.2,0.835,0.46,0.841,0.651,0.99,0.055
VC7,5,0.2,0.94,0.316,0.95,0.633,0.988,0.123
VC8,5,0.2,0.911,0.362,0.92,0.641,0.989,0.092
VC9,5,0.2,0.921,0.366,0.93,0.648,0.989,0.107
VC10,5,0.2,0.9,0.393,0.908,0.65,0.989,0.087
VC11,5,0.2,0.903,0.392,0.911,0.652,0.989,0.09
VC1,5,0.3,0.86,0.414,0.867,0.641,0.989,0.06
VC2,5,0.3,0.865,0.411,0.873,0.642,0.989,0.063
VC3,5,0.3,0.797,0.493,0.802,0.648,0.99,0.044
VC4,5,0.3,0.841,0.453,0.848,0.651,0.99,0.057
VC5,5,0.3,0.784,0.514,0.789,0.652,0.99,0.043
VC6,5,0.3,0.788,0.507,0.793,0.65,0.99,0.043
VC7,5,0.3,0.894,0.368,0.903,0.635,0.989,0.075
VC8,5,0.3,0.863,0.424,0.87,0.647,0.989,0.064
VC9,5,0.3,0.869,0.416,0.877,0.647,0.989,0.067
VC10,5,0.3,0.847,0.454,0.853,0.654,0.99,0.06
VC11,5,0.3,0.853,0.449,0.859,0.654,0.99,0.062
VC1,5,0.4,0.813,0.449,0.819,0.634,0.989,0.044
VC2,5,0.4,0.821,0.437,0.828,0.632,0.989,0.046
VC3,5,0.4,0.753,0.497,0.757,0.627,0.989,0.032
VC4,5,0.4,0.799,0.466,0.804,0.635,0.989,0.041
VC5,5,0.4,0.738,0.51,0.742,0.626,0.989,0.03
VC6,5,0.4,0.75,0.511,0.754,0.632,0.989,0.033
VC7,5,0.4,0.848,0.422,0.855,0.639,0.989,0.055
VC8,5,0.4,0.814,0.445,0.82,0.632,0.989,0.043
VC9,5,0.4,0.824,0.441,0.83,0.636,0.989,0.048
VC10,5,0.4,0.802,0.471,0.808,0.639,0.989,0.043
VC11,5,0.4,0.807,0.461,0.812,0.636,0.989,0.043
VC1,5,0.5,0.774,0.484,0.778,0.631,0.989,0.036
VC2,5,0.5,0.778,0.466,0.783,0.624,0.989,0.034
VC3,5,0.5,0.725,0.524,0.728,0.626,0.989,0.028
VC4,5,0.5,0.758,0.487,0.763,0.625,0.989,0.032
VC5,5,0.5,0.713,0.534,0.716,0.625,0.989,0.027
VC6,5,0.5,0.713,0.518,0.716,0.617,0.989,0.025
VC7,5,0.5,0.805,0.439,0.811,0.625,0.989,0.039
VC8,5,0.5,0.775,0.482,0.78,0.631,0.989,0.036
VC9,5,0.5,0.782,0.474,0.787,0.63,0.989,0.037
VC10,5,0.5,0.762,0.488,0.767,0.627,0.989,0.033
VC11,5,0.5,0.768,0.493,0.772,0.633,0.989,0.035
