Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
LinearSVC,2,0.2,0.983,1.0,0.992,0.0,-0.002,0.016,0.0,0.5,0.0,-0.001
KNeighbors,2,0.2,0.929,0.943,0.962,0.053,0.039,0.019,0.127,0.535,0.04,0.033
RandomForest,2,0.2,0.933,0.945,0.964,0.066,0.065,0.024,0.189,0.567,0.054,0.048
AdaBoost,2,0.2,0.98,0.996,0.99,0.019,0.015,0.017,0.013,0.504,0.042,0.013
GradientBoosting,2,0.2,0.975,0.99,0.988,0.058,0.049,0.02,0.05,0.52,0.077,0.047
GaussianNB,2,0.2,0.97,0.985,0.985,0.021,0.01,0.017,0.027,0.506,0.019,0.009
SGD,2,0.2,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.0,0.0
DecisionTree,2,0.2,0.934,0.946,0.965,0.064,0.064,0.023,0.186,0.566,0.054,0.046
ExtraTrees,2,0.2,0.935,0.947,0.966,0.065,0.065,0.024,0.184,0.566,0.055,0.047
BaggingClassifierDT,2,0.2,0.939,0.951,0.968,0.064,0.063,0.023,0.17,0.561,0.057,0.047
BaggingClassifierLSVC,2,0.2,0.983,1.0,0.992,0.0,-0.002,0.016,0.0,0.5,0.0,-0.001
SVC,2,0.3,0.983,0.999,0.992,0.001,0.0,0.016,0.001,0.5,0.002,0.0
SVC_Linear,2,0.3,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
LinearSVC,2,0.3,0.982,0.998,0.991,0.002,-0.002,0.016,0.001,0.5,0.005,-0.001
KNeighbors,2,0.3,0.858,0.869,0.92,0.04,0.021,0.018,0.183,0.526,0.024,0.014
RandomForest,2,0.3,0.938,0.951,0.967,0.053,0.043,0.02,0.132,0.542,0.043,0.034
AdaBoost,2,0.3,0.973,0.988,0.986,0.035,0.024,0.017,0.032,0.51,0.045,0.022
GradientBoosting,2,0.3,0.966,0.98,0.983,0.054,0.039,0.019,0.066,0.523,0.05,0.038
GaussianNB,2,0.3,0.96,0.975,0.979,0.029,0.014,0.017,0.047,0.511,0.022,0.013
SGD,2,0.3,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
DecisionTree,2,0.3,0.94,0.953,0.968,0.053,0.045,0.02,0.131,0.542,0.046,0.035
ExtraTrees,2,0.3,0.943,0.956,0.97,0.054,0.046,0.02,0.127,0.542,0.047,0.036
BaggingClassifierDT,2,0.3,0.939,0.952,0.968,0.054,0.045,0.02,0.132,0.542,0.044,0.035
BaggingClassifierLSVC,2,0.3,0.982,0.998,0.991,0.003,-0.001,0.016,0.002,0.5,0.009,-0.0
SVC,2,0.4,0.983,0.999,0.991,0.001,0.0,0.016,0.001,0.5,0.006,0.0
SVC_Linear,2,0.4,0.984,1.0,0.992,0.0,0.001,0.016,0.0,0.5,0.005,0.0
LinearSVC,2,0.4,0.981,0.996,0.99,0.009,0.005,0.016,0.007,0.502,0.022,0.004
KNeighbors,2,0.4,0.82,0.829,0.89,0.047,0.032,0.019,0.258,0.543,0.028,0.02
RandomForest,2,0.4,0.891,0.902,0.94,0.06,0.056,0.021,0.229,0.566,0.047,0.038
AdaBoost,2,0.4,0.959,0.974,0.979,0.05,0.034,0.018,0.067,0.521,0.05,0.032
