Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
DecisionTree,5,0.1,0.92,0.929,0.958,0.12,0.13,0.037,0.343,0.636,0.074,0.097
ExtraTrees,5,0.1,0.954,0.965,0.976,0.186,0.18,0.057,0.288,0.626,0.144,0.168
BaggingClassifierDT,5,0.1,0.965,0.977,0.982,0.199,0.188,0.058,0.256,0.616,0.168,0.183
BaggingClassifierLSVC,5,0.1,0.984,1.0,0.992,0.0,-0.0,0.016,0.0,0.5,0.0,-0.0
SVC,5,0.2,0.984,1.0,0.992,0.0,-0.001,0.016,0.0,0.5,0.0,-0.0
SVC_Linear,5,0.2,0.984,1.0,0.992,0.001,0.001,0.016,0.0,0.5,0.01,0.0
LinearSVC,5,0.2,0.983,0.999,0.992,0.0,-0.002,0.016,0.0,0.5,0.002,-0.001
KNeighbors,5,0.2,0.932,0.944,0.964,0.071,0.058,0.021,0.163,0.554,0.046,0.047
RandomForest,5,0.2,0.923,0.933,0.96,0.143,0.147,0.043,0.34,0.636,0.094,0.12
AdaBoost,5,0.2,0.978,0.994,0.989,0.03,0.025,0.018,0.021,0.508,0.059,0.022
GradientBoosting,5,0.2,0.974,0.988,0.987,0.108,0.096,0.027,0.099,0.544,0.123,0.095
GaussianNB,5,0.2,0.932,0.946,0.963,0.035,0.015,0.017,0.077,0.512,0.025,0.013
SGD,5,0.2,0.984,1.0,0.992,0.0,0.0,0.016,0.0,0.5,0.005,0.0
DecisionTree,5,0.2,0.86,0.867,0.924,0.088,0.103,0.03,0.41,0.639,0.05,0.061
ExtraTrees,5,0.2,0.914,0.923,0.954,0.129,0.137,0.04,0.353,0.638,0.081,0.105
BaggingClassifierDT,5,0.2,0.931,0.941,0.964,0.132,0.136,0.039,0.316,0.628,0.085,0.11
BaggingClassifierLSVC,5,0.2,0.983,0.999,0.992,0.0,-0.002,0.016,0.0,0.5,0.002,-0.001
SVC,5,0.3,0.984,1.0,0.992,0.001,0.001,0.016,0.0,0.5,0.01,0.0
SVC_Linear,5,0.3,0.984,1.0,0.992,0.0,-0.001,0.016,0.0,0.5,0.0,-0.0
LinearSVC,5,0.3,0.982,0.998,0.991,0.002,-0.002,0.016,0.002,0.5,0.006,-0.001
KNeighbors,5,0.3,0.862,0.873,0.922,0.054,0.04,0.019,0.222,0.547,0.031,0.026
RandomForest,5,0.3,0.878,0.886,0.934,0.093,0.103,0.031,0.365,0.625,0.055,0.068
AdaBoost,5,0.3,0.966,0.981,0.983,0.048,0.033,0.018,0.054,0.518,0.048,0.032
GradientBoosting,5,0.3,0.959,0.972,0.979,0.092,0.077,0.024,0.13,0.551,0.072,0.073
GaussianNB,5,0.3,0.854,0.865,0.918,0.04,0.02,0.018,0.184,0.525,0.024,0.013
SGD,5,0.3,0.984,1.0,0.992,0.0,-0.001,0.016,0.0,0.5,0.0,-0.001
DecisionTree,5,0.3,0.818,0.824,0.899,0.068,0.08,0.026,0.421,0.623,0.038,0.04
ExtraTrees,5,0.3,0.867,0.876,0.928,0.086,0.096,0.029,0.37,0.623,0.05,0.06
BaggingClassifierDT,5,0.3,0.893,0.902,0.943,0.092,0.099,0.03,0.334,0.618,0.054,0.066
BaggingClassifierLSVC,5,0.3,0.982,0.998,0.991,0.001,-0.004,0.016,0.001,0.499,0.003,-0.002
SVC,5,0.4,0.983,0.999,0.991,0.002,0.003,0.016,0.001,0.5,0.031,0.001
SVC_Linear,5,0.4,0.984,1.0,0.992,0.001,0.0,0.016,0.0,0.5,0.007,0.0
LinearSVC,5,0.4,0.979,0.995,0.989,0.011,0.007,0.017,0.008,0.501,0.039,0.005
KNeighbors,5,0.4,0.834,0.843,0.909,0.052,0.043,0.02,0.281,0.562,0.029,0.023
RandomForest,5,0.4,0.835,0.841,0.908,0.082,0.097,0.029,0.434,0.638,0.046,0.055
AdaBoost,5,0.4,0.947,0.961,0.973,0.06,0.043,0.019,0.106,0.533,0.044,0.038
GradientBoosting,5,0.4,0.937,0.949,0.967,0.092,0.082,0.025,0.195,0.572,0.06,0.069
GaussianNB,5,0.4,0.78,0.788,0.872,0.039,0.019,0.017,0.268,0.528,0.021,0.01
SGD,5,0.4,0.938,0.952,0.961,0.011,0.004,0.016,0.049,0.5,0.028,0.002
DecisionTree,5,0.4,0.753,0.758,0.858,0.061,0.075,0.025,0.497,0.628,0.033,0.032
ExtraTrees,5,0.4,0.822,0.828,0.901,0.077,0.092,0.028,0.441,0.635,0.043,0.05
BaggingClassifierDT,5,0.4,0.851,0.858,0.919,0.083,0.096,0.029,0.408,0.633,0.046,0.055
BaggingClassifierLSVC,5,0.4,0.979,0.995,0.99,0.012,0.009,0.017,0.008,0.502,0.043,0.005
SVC,5,0.5,0.977,0.993,0.989,0.006,0.005,0.017,0.007,0.5,0.04,0.001
SVC_Linear,5,0.5,0.983,0.999,0.991,0.001,0.0,0.016,0.0,0.5,0.01,-0.0
LinearSVC,5,0.5,0.97,0.985,0.985,0.023,0.011,0.017,0.023,0.504,0.034,0.01
KNeighbors,5,0.5,0.769,0.776,0.867,0.046,0.036,0.019,0.339,0.558,0.025,0.017
RandomForest,5,0.5,0.79,0.795,0.881,0.065,0.075,0.025,0.442,0.618,0.035,0.036
AdaBoost,5,0.5,0.919,0.932,0.958,0.057,0.041,0.019,0.15,0.541,0.036,0.032
GradientBoosting,5,0.5,0.902,0.913,0.948,0.071,0.065,0.023,0.233,0.573,0.042,0.045
GaussianNB,5,0.5,0.727,0.733,0.83,0.038,0.019,0.018,0.329,0.531,0.02,0.008
SGD,5,0.5,0.86,0.871,0.915,0.024,0.008,0.017,0.147,0.509,0.022,0.005
DecisionTree,5,0.5,0.72,0.723,0.835,0.054,0.064,0.023,0.507,0.615,0.029,0.025
ExtraTrees,5,0.5,0.78,0.785,0.875,0.064,0.074,0.025,0.454,0.62,0.034,0.035
BaggingClassifierDT,5,0.5,0.812,0.819,0.895,0.068,0.079,0.026,0.423,0.621,0.037,0.04
BaggingClassifierLSVC,5,0.5,0.971,0.986,0.985,0.022,0.01,0.017,0.022,0.504,0.031,0.009
