Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
LinearSVC,3,0.1,0.57,0.571,0.723,0.039,0.028,0.018,0.539,0.555,0.02,0.008
LinearSVC,2,0.3,0.573,0.574,0.725,0.039,0.028,0.018,0.537,0.555,0.02,0.008
LinearSVC,2,0.4,0.572,0.573,0.725,0.039,0.028,0.018,0.536,0.554,0.02,0.008
LinearSVC,3,0.4,0.574,0.575,0.726,0.039,0.027,0.018,0.532,0.553,0.02,0.008
BaggingClassifierLSVC,2,0.05,0.579,0.579,0.73,0.039,0.028,0.018,0.529,0.554,0.02,0.008
BaggingClassifierLSVC,2,0.1,0.578,0.579,0.729,0.039,0.027,0.018,0.528,0.553,0.02,0.008
BaggingClassifierLSVC,2,0.3,0.585,0.586,0.735,0.039,0.028,0.018,0.524,0.555,0.02,0.008
SVC,2,0.05,0.583,0.584,0.733,0.039,0.027,0.018,0.522,0.553,0.02,0.008
BaggingClassifierLSVC,2,0.2,0.584,0.585,0.734,0.039,0.027,0.018,0.522,0.553,0.02,0.008
BaggingClassifierLSVC,2,0.4,0.582,0.583,0.733,0.039,0.027,0.018,0.522,0.553,0.02,0.008
BaggingClassifierLSVC,3,0.1,0.587,0.588,0.736,0.039,0.026,0.018,0.516,0.552,0.02,0.008
BaggingClassifierLSVC,3,0.4,0.591,0.592,0.739,0.039,0.027,0.018,0.514,0.553,0.02,0.008
SVC_Linear,2,0.05,0.589,0.591,0.739,0.039,0.026,0.018,0.513,0.552,0.02,0.008
SVC_Linear,2,0.2,0.591,0.593,0.74,0.039,0.026,0.018,0.508,0.551,0.02,0.008
BaggingClassifierLSVC,3,0.2,0.597,0.599,0.745,0.039,0.026,0.018,0.503,0.551,0.02,0.008
GaussianNB,3,0.3,0.834,0.844,0.906,0.038,0.016,0.017,0.199,0.522,0.022,0.01
GaussianNB,3,0.4,0.751,0.759,0.853,0.038,0.019,0.017,0.302,0.53,0.021,0.008
GaussianNB,5,0.3,0.79,0.799,0.879,0.038,0.016,0.017,0.251,0.525,0.021,0.009
GaussianNB,4,0.3,0.805,0.814,0.889,0.038,0.017,0.017,0.234,0.524,0.021,0.009
SVC,4,0.05,0.537,0.536,0.693,0.038,0.028,0.018,0.574,0.555,0.02,0.007
SVC,5,0.05,0.542,0.542,0.698,0.038,0.026,0.018,0.561,0.551,0.02,0.007
LinearSVC,4,0.3,0.564,0.565,0.718,0.038,0.027,0.018,0.542,0.553,0.02,0.008
SVC,3,0.2,0.558,0.558,0.711,0.038,0.025,0.018,0.541,0.549,0.02,0.007
LinearSVC,4,0.05,0.564,0.564,0.718,0.038,0.027,0.018,0.541,0.552,0.02,0.008
SVC,3,0.05,0.561,0.561,0.715,0.038,0.026,0.018,0.54,0.551,0.02,0.007
LinearSVC,4,0.1,0.564,0.564,0.718,0.038,0.026,0.018,0.539,0.552,0.02,0.007
LinearSVC,3,0.2,0.567,0.567,0.72,0.038,0.026,0.018,0.537,0.552,0.02,0.008
LinearSVC,4,0.5,0.562,0.563,0.716,0.038,0.025,0.018,0.534,0.548,0.02,0.007
LinearSVC,4,0.4,0.562,0.563,0.716,0.038,0.024,0.018,0.532,0.547,0.02,0.007
LinearSVC,3,0.5,0.566,0.566,0.719,0.038,0.025,0.018,0.531,0.549,0.02,0.007
LinearSVC,5,0.1,0.571,0.572,0.724,0.038,0.026,0.018,0.53,0.551,0.02,0.007
LinearSVC,2,0.5,0.567,0.568,0.72,0.038,0.024,0.018,0.529,0.548,0.02,0.007
SVC,3,0.1,0.572,0.572,0.723,0.038,0.026,0.018,0.529,0.551,0.02,0.007
LinearSVC,5,0.3,0.568,0.569,0.721,0.038,0.025,0.018,0.529,0.549,0.02,0.007
SVC,3,0.5,0.568,0.569,0.719,0.038,0.025,0.018,0.528,0.548,0.02,0.007
LinearSVC,5,0.2,0.566,0.567,0.719,0.038,0.024,0.018,0.528,0.547,0.02,0.007
LinearSVC,5,0.4,0.568,0.569,0.721,0.038,0.025,0.018,0.528,0.548,0.02,0.007
LinearSVC,5,0.05,0.572,0.573,0.725,0.038,0.025,0.018,0.526,0.55,0.02,0.007
SVC,2,0.1,0.576,0.577,0.728,0.038,0.026,0.018,0.525,0.551,0.02,0.008
LinearSVC,4,0.2,0.568,0.569,0.721,0.038,0.024,0.018,0.525,0.547,0.02,0.007
SVC,3,0.4,0.574,0.575,0.725,0.038,0.025,0.018,0.524,0.549,0.02,0.007
LinearSVC,3,0.3,0.573,0.574,0.725,0.038,0.025,0.018,0.523,0.548,0.02,0.007
SVC,2,0.5,0.57,0.571,0.722,0.038,0.024,0.018,0.522,0.546,0.02,0.007
SVC,2,0.2,0.581,0.582,0.732,0.038,0.026,0.018,0.519,0.55,0.02,0.008
BaggingClassifierLSVC,3,0.05,0.583,0.585,0.734,0.038,0.026,0.018,0.518,0.551,0.02,0.008
SVC,2,0.4,0.582,0.583,0.733,0.038,0.025,0.018,0.513,0.548,0.02,0.007
SVC,2,0.3,0.584,0.586,0.735,0.038,0.025,0.018,0.512,0.549,0.02,0.007
SVC_Linear,2,0.1,0.589,0.59,0.739,0.038,0.026,0.018,0.511,0.551,0.02,0.008
SVC_Linear,3,0.2,0.587,0.588,0.737,0.038,0.025,0.018,0.51,0.549,0.02,0.008
SVC_Linear,3,0.4,0.59,0.591,0.739,0.038,0.026,0.018,0.509,0.55,0.02,0.008
SVC_Linear,4,0.1,0.59,0.591,0.739,0.038,0.026,0.018,0.509,0.55,0.02,0.008
SVC_Linear,3,0.1,0.589,0.59,0.738,0.038,0.025,0.018,0.508,0.549,0.02,0.007
BaggingClassifierLSVC,4,0.05,0.588,0.59,0.738,0.038,0.025,0.018,0.507,0.548,0.02,0.007
BaggingClassifierLSVC,4,0.4,0.586,0.587,0.735,0.038,0.024,0.018,0.507,0.547,0.02,0.007
SVC_Linear,4,0.05,0.59,0.591,0.739,0.038,0.025,0.018,0.505,0.548,0.02,0.007
SVC_Linear,5,0.3,0.584,0.585,0.734,0.038,0.023,0.018,0.505,0.545,0.02,0.007
SVC_Linear,2,0.3,0.591,0.592,0.74,0.038,0.025,0.018,0.504,0.548,0.02,0.007
SVC_Linear,3,0.05,0.589,0.59,0.738,0.038,0.024,0.018,0.504,0.547,0.02,0.007
BaggingClassifierLSVC,4,0.3,0.591,0.592,0.74,0.038,0.025,0.018,0.504,0.548,0.02,0.007
BaggingClassifierLSVC,2,0.5,0.591,0.592,0.74,0.038,0.024,0.018,0.503,0.547,0.02,0.007
BaggingClassifierLSVC,4,0.1,0.593,0.595,0.742,0.038,0.025,0.018,0.503,0.549,0.02,0.008
SVC_Linear,4,0.3,0.586,0.587,0.736,0.038,0.023,0.018,0.502,0.544,0.02,0.007
SVC_Linear,2,0.4,0.592,0.593,0.741,0.038,0.024,0.018,0.501,0.547,0.02,0.007
SVC_Linear,3,0.5,0.594,0.596,0.743,0.038,0.025,0.018,0.5,0.548,0.02,0.007
BaggingClassifierLSVC,3,0.3,0.592,0.593,0.74,0.038,0.024,0.018,0.499,0.546,0.02,0.007
SVC_Linear,5,0.05,0.59,0.591,0.739,0.038,0.023,0.018,0.499,0.545,0.02,0.007
BaggingClassifierLSVC,5,0.4,0.595,0.597,0.743,0.038,0.024,0.018,0.498,0.548,0.02,0.007
BaggingClassifierLSVC,4,0.5,0.601,0.603,0.748,0.038,0.025,0.018,0.493,0.548,0.02,0.008
BaggingClassifierLSVC,5,0.05,0.603,0.605,0.75,0.038,0.025,0.018,0.492,0.549,0.02,0.008
BaggingClassifierLSVC,3,0.5,0.598,0.6,0.745,0.038,0.023,0.018,0.491,0.545,0.02,0.007
BaggingClassifierLSVC,5,0.1,0.602,0.604,0.749,0.038,0.023,0.018,0.487,0.545,0.02,0.007
BaggingClassifierLSVC,5,0.3,0.601,0.603,0.748,0.038,0.023,0.018,0.487,0.545,0.02,0.007
BaggingClassifierLSVC,5,0.5,0.603,0.605,0.75,0.038,0.023,0.018,0.484,0.544,0.02,0.007
BaggingClassifierLSVC,4,0.2,0.607,0.609,0.752,0.038,0.023,0.018,0.481,0.545,0.02,0.007
GaussianNB,4,0.5,0.728,0.735,0.837,0.038,0.019,0.018,0.327,0.531,0.02,0.008
SVC,4,0.3,0.51,0.509,0.669,0.038,0.026,0.018,0.595,0.552,0.019,0.007
SVC,5,0.1,0.517,0.515,0.675,0.038,0.026,0.018,0.587,0.551,0.019,0.007
SVC,4,0.1,0.524,0.523,0.681,0.038,0.026,0.018,0.58,0.551,0.019,0.007
SVC,3,0.3,0.565,0.566,0.718,0.038,0.024,0.018,0.527,0.546,0.019,0.007
GaussianNB,2,0.3,0.849,0.86,0.915,0.037,0.016,0.017,0.182,0.521,0.022,0.01
GaussianNB,5,0.5,0.69,0.696,0.811,0.037,0.018,0.018,0.367,0.531,0.02,0.007
GaussianNB,2,0.5,0.711,0.717,0.825,0.037,0.018,0.018,0.345,0.531,0.02,0.007
SVC,5,0.4,0.516,0.515,0.674,0.037,0.025,0.018,0.582,0.548,0.019,0.006
SVC,4,0.4,0.519,0.518,0.676,0.037,0.024,0.018,0.575,0.547,0.019,0.006
SVC,4,0.2,0.528,0.527,0.684,0.037,0.024,0.018,0.565,0.546,0.019,0.006
SVC,5,0.3,0.531,0.53,0.687,0.037,0.024,0.018,0.565,0.548,0.019,0.006
SVC,5,0.5,0.525,0.524,0.681,0.037,0.022,0.018,0.562,0.543,0.019,0.006
SVC,4,0.5,0.533,0.533,0.69,0.037,0.024,0.018,0.561,0.547,0.019,0.006
LinearSVC,5,0.5,0.562,0.562,0.716,0.037,0.023,0.018,0.53,0.546,0.019,0.007
SVC_Linear,2,0.5,0.587,0.588,0.736,0.037,0.021,0.018,0.494,0.541,0.019,0.006
SVC_Linear,3,0.3,0.59,0.592,0.739,0.037,0.022,0.018,0.493,0.542,0.019,0.006
SVC_Linear,4,0.5,0.592,0.594,0.74,0.037,0.022,0.018,0.493,0.543,0.019,0.007
SVC_Linear,5,0.1,0.59,0.592,0.74,0.037,0.022,0.018,0.493,0.542,0.019,0.006
