Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
ExtraTrees,5,0.5,0.807,0.814,0.892,0.065,0.074,0.024,0.416,0.615,0.035,0.037
KNeighbors,4,0.2,0.934,0.947,0.966,0.063,0.047,0.02,0.137,0.542,0.041,0.039
AdaBoost,4,0.4,0.934,0.947,0.966,0.062,0.046,0.02,0.134,0.541,0.041,0.038
KNeighbors,5,0.05,0.98,0.996,0.99,0.061,0.065,0.022,0.04,0.518,0.135,0.054
DecisionTree,2,0.5,0.723,0.726,0.837,0.059,0.076,0.025,0.543,0.635,0.031,0.03
DecisionTree,3,0.5,0.719,0.722,0.835,0.059,0.075,0.025,0.547,0.634,0.031,0.03
DecisionTree,4,0.5,0.717,0.72,0.833,0.059,0.075,0.025,0.55,0.635,0.031,0.03
KNeighbors,5,0.2,0.935,0.948,0.966,0.059,0.043,0.019,0.128,0.538,0.039,0.036
AdaBoost,3,0.4,0.937,0.951,0.968,0.058,0.041,0.019,0.119,0.535,0.039,0.035
AdaBoost,5,0.4,0.934,0.947,0.966,0.058,0.04,0.019,0.124,0.536,0.038,0.034
AdaBoost,2,0.4,0.943,0.957,0.971,0.057,0.039,0.019,0.106,0.531,0.04,0.035
AdaBoost,2,0.5,0.911,0.923,0.953,0.057,0.042,0.019,0.165,0.544,0.035,0.031
AdaBoost,4,0.5,0.896,0.908,0.945,0.057,0.045,0.02,0.196,0.552,0.034,0.031
DecisionTree,5,0.5,0.712,0.714,0.83,0.057,0.072,0.024,0.544,0.629,0.03,0.028
KNeighbors,2,0.3,0.885,0.896,0.939,0.056,0.044,0.02,0.211,0.554,0.032,0.029
AdaBoost,2,0.3,0.965,0.98,0.982,0.056,0.04,0.019,0.065,0.522,0.052,0.039
KNeighbors,3,0.3,0.886,0.897,0.939,0.056,0.045,0.02,0.212,0.554,0.032,0.029
AdaBoost,3,0.5,0.901,0.913,0.948,0.056,0.042,0.019,0.183,0.548,0.033,0.03
AdaBoost,5,0.5,0.895,0.907,0.945,0.056,0.043,0.02,0.193,0.55,0.033,0.029
