Classifier,FeatureSelection,UnderSampling,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
RandomForest,3,0.3,0.778,0.783,0.87,0.073,0.085,0.027,0.472,0.628,0.04,0.044
AdaBoost,3,0.3,0.974,0.989,0.987,0.04,0.03,0.018,0.035,0.512,0.056,0.028
GradientBoosting,3,0.3,0.962,0.976,0.981,0.078,0.063,0.022,0.103,0.54,0.065,0.061
GaussianNB,3,0.3,0.871,0.883,0.924,0.028,0.013,0.017,0.151,0.517,0.018,0.009
SGD,3,0.3,0.478,0.477,0.568,0.031,0.011,0.017,0.562,0.519,0.021,0.004
DecisionTree,3,0.3,0.747,0.751,0.85,0.065,0.078,0.025,0.503,0.627,0.035,0.036
ExtraTrees,3,0.3,0.763,0.767,0.86,0.071,0.085,0.027,0.496,0.632,0.039,0.043
BaggingClassifierDT,3,0.3,0.791,0.797,0.877,0.072,0.08,0.026,0.435,0.616,0.04,0.044
BaggingClassifierLSVC,3,0.3,0.589,0.59,0.738,0.038,0.026,0.018,0.51,0.55,0.02,0.008
SVC,3,0.4,0.584,0.586,0.734,0.039,0.027,0.018,0.519,0.552,0.02,0.008
SVC_Linear,3,0.4,0.583,0.584,0.733,0.038,0.024,0.018,0.51,0.547,0.02,0.007
LinearSVC,3,0.4,0.574,0.574,0.726,0.038,0.026,0.018,0.528,0.551,0.02,0.008
KNeighbors,3,0.4,0.78,0.787,0.86,0.051,0.041,0.02,0.33,0.559,0.028,0.023
RandomForest,3,0.4,0.752,0.756,0.854,0.065,0.076,0.025,0.489,0.623,0.035,0.036
AdaBoost,3,0.4,0.955,0.97,0.977,0.055,0.038,0.019,0.083,0.526,0.045,0.036
GradientBoosting,3,0.4,0.94,0.953,0.969,0.071,0.059,0.022,0.146,0.549,0.067,0.049
GaussianNB,3,0.4,0.84,0.85,0.905,0.037,0.018,0.017,0.194,0.522,0.023,0.012
SGD,3,0.4,0.642,0.647,0.704,0.03,0.008,0.017,0.373,0.51,0.018,0.006
DecisionTree,3,0.4,0.717,0.721,0.831,0.057,0.067,0.023,0.514,0.618,0.03,0.028
ExtraTrees,3,0.4,0.742,0.746,0.847,0.064,0.077,0.025,0.507,0.626,0.035,0.035
BaggingClassifierDT,3,0.4,0.766,0.771,0.863,0.064,0.073,0.025,0.459,0.615,0.035,0.036
BaggingClassifierLSVC,3,0.4,0.581,0.582,0.731,0.039,0.027,0.018,0.522,0.552,0.02,0.008
SVC,3,0.5,0.586,0.587,0.735,0.039,0.027,0.018,0.517,0.552,0.02,0.008
SVC_Linear,3,0.5,0.596,0.598,0.743,0.038,0.026,0.018,0.503,0.55,0.02,0.008
LinearSVC,3,0.5,0.58,0.581,0.731,0.038,0.026,0.018,0.522,0.551,0.02,0.008
KNeighbors,3,0.5,0.691,0.696,0.789,0.044,0.03,0.019,0.403,0.55,0.024,0.015
RandomForest,3,0.5,0.717,0.721,0.83,0.057,0.065,0.023,0.501,0.611,0.031,0.028
AdaBoost,3,0.5,0.94,0.954,0.969,0.053,0.036,0.019,0.104,0.529,0.038,0.031
GradientBoosting,3,0.5,0.919,0.931,0.958,0.065,0.054,0.021,0.179,0.555,0.041,0.041
GaussianNB,3,0.5,0.785,0.793,0.87,0.04,0.023,0.018,0.267,0.53,0.024,0.014
SGD,3,0.5,0.529,0.53,0.615,0.029,0.011,0.017,0.511,0.52,0.019,0.003
DecisionTree,3,0.5,0.691,0.694,0.813,0.052,0.058,0.022,0.514,0.604,0.027,0.022
ExtraTrees,3,0.5,0.714,0.717,0.828,0.057,0.066,0.024,0.509,0.613,0.031,0.028
BaggingClassifierDT,3,0.5,0.72,0.724,0.831,0.057,0.063,0.023,0.488,0.606,0.031,0.028
BaggingClassifierLSVC,3,0.5,0.598,0.599,0.745,0.039,0.026,0.018,0.5,0.55,0.02,0.008
SVC,4,0.05,0.566,0.567,0.718,0.038,0.025,0.018,0.533,0.55,0.02,0.007
SVC_Linear,4,0.05,0.589,0.59,0.739,0.038,0.025,0.018,0.509,0.549,0.02,0.008
LinearSVC,4,0.05,0.574,0.575,0.726,0.039,0.029,0.018,0.539,0.557,0.02,0.008
KNeighbors,4,0.05,0.939,0.952,0.964,0.097,0.087,0.027,0.112,0.532,0.134,0.083
RandomForest,4,0.05,0.892,0.9,0.939,0.177,0.179,0.065,0.375,0.637,0.155,0.156
AdaBoost,4,0.05,0.984,1.0,0.992,0.004,0.009,0.017,0.002,0.501,0.061,0.003
GradientBoosting,4,0.05,0.983,0.998,0.991,0.055,0.08,0.027,0.032,0.515,0.237,0.052
GaussianNB,4,0.05,0.975,0.991,0.987,0.016,0.006,0.016,0.013,0.502,0.023,0.006
SGD,4,0.05,0.527,0.527,0.599,0.027,0.01,0.017,0.503,0.515,0.026,0.004
