Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT7_ET1_BCDT15,6,0.05,0.858,0.39,0.866,0.628,0.989,0.056
DT7_ET1_BCDT15,7,0.05,0.859,0.39,0.866,0.628,0.989,0.056
BCDT14_RF8_BCDT15,7,0.05,0.9,0.346,0.909,0.628,0.988,0.079
DT7_BCDT14_RF8_ET1_BCDT15,7,0.1,0.87,0.379,0.878,0.628,0.989,0.06
BCDT14_ET1_BCDT15,3,0.25,0.756,0.494,0.76,0.627,0.989,0.036
BCDT14_RF8_ET1,4,0.25,0.766,0.483,0.771,0.627,0.989,0.035
RF8_ET1_BCDT15,4,0.4,0.707,0.544,0.71,0.627,0.99,0.028
BCDT14_ET1_BCDT15,5,0.3,0.757,0.493,0.762,0.627,0.989,0.033
DT7_BCDT14_RF8_ET1_BCDT15,5,0.4,0.733,0.518,0.737,0.627,0.989,0.029
DT7_RF8_ET1,5,0.5,0.707,0.544,0.71,0.627,0.99,0.027
DT7_BCDT14_RF8,6,0.05,0.899,0.345,0.908,0.627,0.988,0.075
DT7_BCDT14_RF8_ET1_BCDT15,7,0.5,0.713,0.538,0.716,0.627,0.99,0.027
DT7_BCDT14_RF8_ET1_BCDT15,3,0.25,0.737,0.511,0.74,0.626,0.989,0.032
DT7_BCDT14_RF8_ET1_BCDT15,4,0.4,0.706,0.543,0.709,0.626,0.99,0.028
DT7_BCDT14_BCDT15,6,0.15,0.782,0.465,0.787,0.626,0.989,0.036
BCDT14_RF8_ET1,6,0.15,0.851,0.393,0.858,0.626,0.989,0.051
DT7_RF8_ET1,6,0.3,0.783,0.464,0.788,0.626,0.989,0.036
DT7_ET1_BCDT15,6,0.3,0.741,0.507,0.745,0.626,0.989,0.03
DT7_RF8_ET1,6,0.4,0.744,0.504,0.748,0.626,0.989,0.03
DT7_BCDT14_RF8_ET1_BCDT15,7,0.05,0.904,0.338,0.913,0.626,0.988,0.081
DT7_RF8_ET1,5,0.3,0.755,0.49,0.76,0.625,0.989,0.033
DT7_BCDT14_ET1,5,0.4,0.737,0.508,0.741,0.625,0.989,0.03
DT7_BCDT14_RF8_ET1_BCDT15,6,0.3,0.768,0.476,0.773,0.625,0.989,0.033
DT7_BCDT14_RF8_ET1_BCDT15,7,0.15,0.834,0.41,0.841,0.625,0.989,0.046
DT7_ET1_BCDT15,3,0.25,0.727,0.518,0.731,0.624,0.989,0.03
BCDT14_RF8_BCDT15,5,0.3,0.734,0.51,0.738,0.624,0.989,0.029
DT7_BCDT14_ET1,6,0.4,0.739,0.505,0.743,0.624,0.989,0.03
BCDT14_RF8_BCDT15,7,0.1,0.854,0.386,0.862,0.624,0.989,0.052
DT7_BCDT14_RF8,7,0.3,0.752,0.492,0.756,0.624,0.989,0.031
BCDT14_RF8_ET1,3,0.3,0.739,0.504,0.742,0.623,0.989,0.031
DT7_BCDT14_BCDT15,4,0.1,0.76,0.481,0.765,0.623,0.989,0.032
DT7_ET1_BCDT15,4,0.15,0.685,0.558,0.687,0.623,0.989,0.029
RF8_ET1_BCDT15,4,0.15,0.7,0.544,0.703,0.623,0.989,0.032
DT7_BCDT14_BCDT15,4,0.25,0.711,0.532,0.714,0.623,0.989,0.027
RF8_ET1_BCDT15,4,0.3,0.746,0.496,0.75,0.623,0.989,0.032
DT7_RF8_ET1,4,0.4,0.71,0.532,0.713,0.623,0.989,0.028
DT7_ET1_BCDT15,5,0.3,0.721,0.523,0.724,0.623,0.989,0.029
DT7_RF8_BCDT15,5,0.4,0.692,0.552,0.695,0.623,0.99,0.025
BCDT14_RF8_ET1,5,0.4,0.744,0.499,0.748,0.623,0.989,0.03
BCDT14_RF8_BCDT15,6,0.05,0.9,0.338,0.909,0.623,0.988,0.073
DT7_RF8_BCDT15,7,0.1,0.835,0.405,0.842,0.623,0.989,0.047
DT7_BCDT14_BCDT15,7,0.3,0.72,0.524,0.723,0.623,0.989,0.028
BCDT14_ET1_BCDT15,4,0.4,0.708,0.533,0.711,0.622,0.989,0.027
DT7_BCDT14_RF8,5,0.3,0.734,0.507,0.737,0.622,0.989,0.029
DT7_BCDT14_ET1,5,0.3,0.756,0.485,0.76,0.622,0.989,0.032
BCDT14_RF8_BCDT15,5,0.4,0.713,0.529,0.716,0.622,0.989,0.026
BCDT14_RF8_BCDT15,6,0.25,0.771,0.469,0.776,0.622,0.989,0.033
DT7_BCDT14_RF8,6,0.3,0.743,0.496,0.747,0.622,0.989,0.029
RF8_ET1_BCDT15,6,0.3,0.781,0.457,0.786,0.622,0.989,0.034
DT7_ET1_BCDT15,7,0.15,0.801,0.436,0.807,0.622,0.989,0.037
DT7_BCDT14_ET1,7,0.3,0.774,0.465,0.78,0.622,0.989,0.034
DT7_RF8_ET1,3,0.3,0.733,0.506,0.736,0.621,0.989,0.029
RF8_ET1_BCDT15,3,0.3,0.734,0.505,0.737,0.621,0.989,0.03
DT7_BCDT14_ET1,3,0.4,0.712,0.527,0.715,0.621,0.989,0.027
BCDT14_ET1_BCDT15,3,0.4,0.712,0.526,0.715,0.621,0.989,0.027
DT7_ET1_BCDT15,6,0.25,0.753,0.483,0.758,0.621,0.989,0.03
DT7_RF8_BCDT15,7,0.3,0.734,0.505,0.738,0.621,0.989,0.029
DT7_BCDT14_RF8_ET1_BCDT15,3,0.1,0.749,0.487,0.753,0.62,0.989,0.043
DT7_ET1_BCDT15,3,0.1,0.729,0.508,0.733,0.62,0.989,0.036
DT7_BCDT14_ET1,3,0.3,0.732,0.505,0.736,0.62,0.989,0.029
BCDT14_ET1_BCDT15,4,0.15,0.705,0.532,0.708,0.62,0.989,0.033
DT7_RF8_BCDT15,4,0.25,0.715,0.521,0.718,0.62,0.989,0.027
DT7_BCDT14_BCDT15,5,0.4,0.68,0.557,0.682,0.62,0.99,0.023
DT7_BCDT14_RF8_ET1_BCDT15,6,0.1,0.852,0.381,0.86,0.62,0.988,0.052
DT7_BCDT14_ET1,6,0.15,0.826,0.407,0.833,0.62,0.989,0.043
RF8_ET1_BCDT15,6,0.4,0.746,0.49,0.75,0.62,0.989,0.029
BCDT14_ET1_BCDT15,3,0.1,0.744,0.489,0.749,0.619,0.989,0.041
BCDT14_ET1_BCDT15,3,0.3,0.733,0.502,0.736,0.619,0.989,0.029
BCDT14_RF8_ET1,3,0.4,0.724,0.511,0.728,0.619,0.989,0.028
DT7_RF8_ET1,4,0.15,0.7,0.536,0.702,0.619,0.989,0.031
BCDT14_ET1_BCDT15,4,0.3,0.743,0.492,0.747,0.619,0.989,0.03
