Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BaggingClassifierLSVC,6,0.4,0.556,0.564,0.556,0.56,0.987,0.008
BaggingClassifierLSVC,2,0.05,0.561,0.556,0.561,0.559,0.987,0.008
KNeighbors,3,0.4,0.832,0.277,0.841,0.559,0.986,0.021
LinearSVC,6,0.1,0.568,0.55,0.568,0.559,0.987,0.009
BaggingClassifierLSVC,5,0.5,0.555,0.561,0.555,0.558,0.987,0.008
LinearSVC,6,0.05,0.594,0.521,0.595,0.558,0.987,0.009
LinearSVC,2,0.05,0.57,0.544,0.571,0.557,0.987,0.008
BaggingClassifierLSVC,2,0.3,0.549,0.565,0.549,0.557,0.987,0.008
KNeighbors,3,0.25,0.913,0.188,0.925,0.557,0.986,0.039
SVC,6,0.1,0.531,0.585,0.53,0.557,0.987,0.008
LinearSVC,6,0.4,0.583,0.531,0.584,0.557,0.987,0.009
SVC,2,0.15,0.573,0.538,0.573,0.556,0.987,0.008
SVC_Linear,2,0.15,0.586,0.526,0.587,0.556,0.987,0.009
LinearSVC,2,0.3,0.568,0.543,0.568,0.556,0.987,0.008
SVC_Linear,2,0.4,0.578,0.532,0.579,0.556,0.987,0.008
LinearSVC,6,0.25,0.568,0.543,0.569,0.556,0.987,0.008
BaggingClassifierLSVC,2,0.1,0.556,0.555,0.556,0.555,0.987,0.008
KNeighbors,2,0.15,0.953,0.143,0.966,0.555,0.986,0.068
LinearSVC,2,0.25,0.56,0.55,0.56,0.555,0.987,0.008
KNeighbors,2,0.25,0.91,0.189,0.922,0.555,0.986,0.037
BaggingClassifierLSVC,2,0.25,0.555,0.555,0.555,0.555,0.987,0.008
KNeighbors,3,0.15,0.952,0.144,0.966,0.555,0.986,0.067
GradientBoosting,3,0.25,0.969,0.127,0.983,0.555,0.986,0.101
BaggingClassifierLSVC,5,0.25,0.555,0.556,0.555,0.555,0.987,0.008
GradientBoosting,6,0.3,0.961,0.136,0.974,0.555,0.986,0.08
SVC_Linear,6,0.4,0.588,0.52,0.589,0.555,0.987,0.008
LinearSVC,3,0.1,0.561,0.548,0.561,0.554,0.987,0.008
GradientBoosting,3,0.3,0.959,0.136,0.973,0.554,0.986,0.077
SVC_Linear,2,0.05,0.585,0.52,0.586,0.553,0.987,0.008
LinearSVC,2,0.1,0.569,0.537,0.57,0.553,0.987,0.008
SVC,2,0.25,0.581,0.525,0.582,0.553,0.987,0.008
KNeighbors,2,0.3,0.885,0.211,0.896,0.553,0.986,0.029
SVC,5,0.1,0.53,0.577,0.529,0.553,0.987,0.007
LinearSVC,2,0.15,0.57,0.533,0.57,0.552,0.987,0.008
BaggingClassifierLSVC,3,0.1,0.553,0.551,0.553,0.552,0.987,0.007
BaggingClassifierLSVC,3,0.15,0.564,0.539,0.564,0.552,0.987,0.007
LinearSVC,4,0.05,0.579,0.524,0.58,0.552,0.987,0.008
KNeighbors,4,0.4,0.829,0.265,0.838,0.552,0.986,0.019
LinearSVC,4,0.5,0.558,0.545,0.558,0.552,0.987,0.007
BaggingClassifierLSVC,5,0.1,0.551,0.554,0.551,0.552,0.987,0.007
LinearSVC,5,0.15,0.574,0.529,0.575,0.552,0.987,0.008
LinearSVC,5,0.3,0.585,0.518,0.586,0.552,0.987,0.008
SVC,2,0.1,0.585,0.517,0.586,0.551,0.987,0.008
SVC_Linear,2,0.3,0.579,0.521,0.58,0.551,0.987,0.008
BaggingClassifierLSVC,2,0.4,0.562,0.54,0.562,0.551,0.987,0.007
LinearSVC,4,0.3,0.573,0.527,0.574,0.551,0.987,0.007
AdaBoost,4,0.5,0.907,0.182,0.919,0.551,0.986,0.034
AdaBoost,5,0.4,0.937,0.151,0.95,0.551,0.986,0.049
BaggingClassifierLSVC,6,0.25,0.557,0.545,0.557,0.551,0.987,0.007
SVC,2,0.05,0.589,0.511,0.59,0.55,0.987,0.008
BaggingClassifierLSVC,2,0.5,0.562,0.537,0.563,0.55,0.987,0.007
LinearSVC,3,0.15,0.575,0.524,0.576,0.55,0.987,0.007
KNeighbors,4,0.3,0.89,0.199,0.901,0.55,0.986,0.028
BaggingClassifierLSVC,4,0.4,0.545,0.556,0.544,0.55,0.987,0.007
SVC,5,0.5,0.527,0.574,0.526,0.55,0.987,0.007
LinearSVC,5,0.5,0.582,0.517,0.583,0.55,0.987,0.007
SVC,6,0.05,0.551,0.549,0.551,0.55,0.987,0.007
SVC,6,0.4,0.532,0.568,0.531,0.55,0.987,0.007
LinearSVC,2,0.4,0.578,0.519,0.579,0.549,0.987,0.007
LinearSVC,2,0.5,0.572,0.525,0.573,0.549,0.987,0.007
SVC,5,0.3,0.523,0.576,0.522,0.549,0.987,0.007
BaggingClassifierLSVC,5,0.3,0.552,0.545,0.553,0.549,0.987,0.007
SVC,5,0.4,0.534,0.565,0.533,0.549,0.987,0.007
SVC,6,0.25,0.527,0.57,0.527,0.549,0.987,0.007
SVC_Linear,2,0.1,0.592,0.502,0.593,0.548,0.987,0.007
SVC_Linear,2,0.25,0.599,0.496,0.6,0.548,0.987,0.007
GradientBoosting,2,0.3,0.963,0.119,0.977,0.548,0.986,0.075
SVC,2,0.4,0.569,0.527,0.569,0.548,0.987,0.007
BaggingClassifierLSVC,3,0.05,0.556,0.54,0.556,0.548,0.987,0.007
KNeighbors,4,0.25,0.912,0.173,0.924,0.548,0.986,0.033
BaggingClassifierLSVC,4,0.3,0.565,0.53,0.566,0.548,0.987,0.007
BaggingClassifierLSVC,4,0.5,0.529,0.568,0.529,0.548,0.987,0.006
BaggingClassifierLSVC,5,0.15,0.556,0.54,0.557,0.548,0.987,0.007
GradientBoosting,6,0.25,0.969,0.113,0.983,0.548,0.986,0.091
SVC,6,0.3,0.549,0.546,0.549,0.548,0.987,0.006
BaggingClassifierLSVC,6,0.3,0.551,0.545,0.551,0.548,0.987,0.007
KNeighbors,6,0.4,0.837,0.25,0.846,0.548,0.986,0.018
SVC,2,0.3,0.594,0.498,0.596,0.547,0.986,0.007
SVC,3,0.25,0.543,0.551,0.543,0.547,0.987,0.006
BaggingClassifierLSVC,3,0.5,0.563,0.531,0.563,0.547,0.987,0.007
GradientBoosting,4,0.25,0.969,0.112,0.983,0.547,0.986,0.086
SVC_Linear,5,0.05,0.585,0.508,0.586,0.547,0.987,0.007
KNeighbors,5,0.4,0.839,0.245,0.849,0.547,0.986,0.018
LinearSVC,6,0.5,0.561,0.532,0.561,0.547,0.987,0.007
BaggingClassifierLSVC,6,0.5,0.539,0.556,0.539,0.547,0.987,0.006
SVC_Linear,3,0.25,0.583,0.508,0.585,0.546,0.987,0.007
LinearSVC,3,0.5,0.579,0.512,0.58,0.546,0.986,0.007
