Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
Birch,6,0.05,0.401,0.571,0.398,0.485,0.983,-0.001
MiniBatchKMeans,7,0.25,0.456,0.515,0.455,0.485,0.983,-0.001
Birch,2,0.15,0.463,0.506,0.463,0.484,0.983,-0.001
KMeans,4,0.5,0.482,0.486,0.482,0.484,0.982,-0.001
MiniBatchKMeans,7,0.15,0.482,0.486,0.482,0.484,0.982,-0.001
MiniBatchKMeans,7,0.3,0.467,0.502,0.466,0.484,0.982,-0.001
KMeans,8,0.3,0.483,0.486,0.483,0.484,0.982,-0.001
MiniBatchKMeans,2,0.05,0.482,0.485,0.482,0.483,0.982,-0.001
MiniBatchKMeans,4,0.25,0.483,0.483,0.483,0.483,0.982,-0.001
KMeans,5,0.05,0.463,0.504,0.462,0.483,0.982,-0.001
MiniBatchKMeans,6,0.1,0.465,0.502,0.465,0.483,0.982,-0.001
KMeans,7,0.1,0.482,0.483,0.482,0.483,0.982,-0.001
MiniBatchKMeans,2,0.25,0.482,0.481,0.483,0.482,0.982,-0.001
KMeans,6,0.3,0.463,0.501,0.463,0.482,0.982,-0.002
KMeans,8,0.5,0.465,0.5,0.464,0.482,0.982,-0.001
MiniBatchKMeans,4,0.3,0.449,0.51,0.448,0.479,0.982,-0.002
KMeans,7,0.5,0.465,0.494,0.465,0.479,0.982,-0.002
KMeans,6,0.1,0.48,0.475,0.48,0.478,0.982,-0.001
MiniBatchKMeans,5,0.1,0.466,0.488,0.466,0.477,0.982,-0.002
KMeans,2,0.25,0.451,0.502,0.451,0.476,0.982,-0.002
MiniBatchKMeans,3,0.05,0.447,0.507,0.446,0.476,0.982,-0.002
KMeans,7,0.25,0.448,0.505,0.447,0.476,0.982,-0.002
MiniBatchKMeans,7,0.4,0.448,0.506,0.447,0.476,0.982,-0.002
KMeans,4,0.4,0.436,0.514,0.435,0.474,0.982,-0.003
Birch,8,0.4,0.382,0.564,0.379,0.472,0.981,-0.003
MiniBatchKMeans,6,0.3,0.431,0.513,0.43,0.471,0.982,-0.003
KMeans,4,0.1,0.448,0.494,0.447,0.47,0.981,-0.003
MiniBatchKMeans,5,0.05,0.448,0.493,0.447,0.47,0.981,-0.003
KMeans,3,0.4,0.448,0.49,0.448,0.469,0.982,-0.003
MiniBatchKMeans,6,0.5,0.448,0.492,0.447,0.469,0.981,-0.003
MiniBatchKMeans,5,0.3,0.428,0.502,0.427,0.465,0.981,-0.003
MiniBatchKMeans,3,0.4,0.431,0.495,0.43,0.463,0.981,-0.004
MiniBatchKMeans,3,0.3,0.446,0.477,0.445,0.461,0.981,-0.004
MiniBatchKMeans,8,0.25,0.466,0.444,0.466,0.455,0.981,-0.005
