Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
BCDT14_RF8_BCDT15,5,0.05,0.929,0.363,0.939,0.651,0.989,0.119
DT7_BCDT14_RF8_ET1_BCDT15,5,0.1,0.902,0.392,0.91,0.651,0.989,0.089
DT7_BCDT14_RF8_ET1_BCDT15,5,0.25,0.823,0.473,0.829,0.651,0.99,0.051
DT7_BCDT14_RF8,6,0.1,0.886,0.407,0.894,0.651,0.989,0.078
DT7_BCDT14_BCDT15,2,0.05,0.883,0.41,0.891,0.65,0.989,0.075
DT7_RF8_ET1,3,0.4,0.769,0.527,0.773,0.65,0.99,0.039
RF8_ET1_BCDT15,3,0.4,0.763,0.533,0.767,0.65,0.99,0.039
DT7_BCDT14_RF8,5,0.1,0.887,0.405,0.895,0.65,0.989,0.077
DT7_ET1_BCDT15,5,0.15,0.827,0.468,0.833,0.65,0.99,0.053
DT7_BCDT14_RF8_ET1_BCDT15,5,0.3,0.798,0.498,0.803,0.65,0.99,0.045
BCDT14_RF8_BCDT15,6,0.1,0.887,0.405,0.895,0.65,0.989,0.078
BCDT14_RF8_ET1,2,0.1,0.889,0.4,0.897,0.649,0.989,0.079
DT7_BCDT14_RF8_ET1_BCDT15,3,0.3,0.794,0.499,0.799,0.649,0.99,0.044
RF8_ET1_BCDT15,4,0.05,0.931,0.357,0.94,0.649,0.989,0.121
DT7_BCDT14_BCDT15,5,0.25,0.763,0.531,0.767,0.649,0.99,0.038
DT7_RF8_BCDT15,3,0.25,0.771,0.521,0.775,0.648,0.99,0.039
RF8_ET1_BCDT15,3,0.3,0.802,0.488,0.807,0.648,0.99,0.045
DT7_RF8_BCDT15,5,0.1,0.876,0.412,0.884,0.648,0.989,0.07
DT7_ET1_BCDT15,5,0.1,0.863,0.425,0.87,0.648,0.989,0.064
RF8_ET1_BCDT15,5,0.3,0.807,0.485,0.812,0.648,0.99,0.046
DT7_BCDT14_BCDT15,6,0.1,0.848,0.44,0.855,0.648,0.989,0.058
DT7_RF8_BCDT15,6,0.1,0.873,0.415,0.88,0.648,0.989,0.068
DT7_RF8_ET1,2,0.05,0.921,0.364,0.93,0.647,0.989,0.106
DT7_BCDT14_BCDT15,2,0.15,0.8,0.488,0.805,0.647,0.99,0.045
BCDT14_RF8_ET1,3,0.1,0.899,0.387,0.907,0.647,0.989,0.085
BCDT14_ET1_BCDT15,3,0.4,0.758,0.531,0.762,0.647,0.99,0.037
DT7_BCDT14_ET1,4,0.05,0.881,0.406,0.888,0.647,0.989,0.075
DT7_RF8_ET1,4,0.1,0.899,0.387,0.908,0.647,0.989,0.085
DT7_ET1_BCDT15,4,0.15,0.836,0.452,0.842,0.647,0.99,0.053
BCDT14_RF8_BCDT15,4,0.15,0.861,0.426,0.868,0.647,0.989,0.063
DT7_ET1_BCDT15,5,0.3,0.767,0.523,0.771,0.647,0.99,0.039
DT7_BCDT14_BCDT15,3,0.25,0.756,0.533,0.76,0.646,0.99,0.037
DT7_ET1_BCDT15,3,0.3,0.752,0.537,0.755,0.646,0.99,0.036
DT7_BCDT14_RF8,4,0.05,0.927,0.355,0.937,0.646,0.989,0.113
BCDT14_ET1_BCDT15,4,0.1,0.879,0.405,0.886,0.646,0.989,0.072
DT7_RF8_BCDT15,4,0.15,0.846,0.439,0.852,0.646,0.989,0.057
DT7_RF8_BCDT15,6,0.05,0.919,0.364,0.928,0.646,0.989,0.102
DT7_BCDT14_RF8_ET1_BCDT15,6,0.1,0.899,0.385,0.907,0.646,0.989,0.084
DT7_ET1_BCDT15,6,0.1,0.856,0.429,0.863,0.646,0.989,0.061
DT7_BCDT14_RF8,2,0.05,0.915,0.367,0.923,0.645,0.989,0.097
DT7_BCDT14_RF8,2,0.15,0.837,0.446,0.843,0.645,0.989,0.053
DT7_RF8_ET1,3,0.25,0.816,0.468,0.821,0.645,0.99,0.047
DT7_ET1_BCDT15,3,0.4,0.734,0.554,0.737,0.645,0.99,0.033
BCDT14_ET1_BCDT15,4,0.05,0.9,0.381,0.909,0.645,0.989,0.087
RF8_ET1_BCDT15,4,0.1,0.901,0.381,0.909,0.645,0.989,0.085
DT7_RF8_ET1,4,0.15,0.876,0.407,0.884,0.645,0.989,0.07
DT7_RF8_BCDT15,5,0.05,0.916,0.365,0.925,0.645,0.989,0.099
DT7_RF8_ET1,5,0.3,0.802,0.483,0.807,0.645,0.99,0.044
DT7_BCDT14_RF8_ET1_BCDT15,6,0.3,0.806,0.48,0.811,0.645,0.99,0.045
BCDT14_ET1_BCDT15,2,0.25,0.8,0.482,0.805,0.644,0.99,0.044
DT7_BCDT14_ET1,3,0.4,0.764,0.52,0.768,0.644,0.99,0.037
DT7_BCDT14_RF8,4,0.15,0.859,0.423,0.866,0.644,0.989,0.061
DT7_BCDT14_BCDT15,4,0.15,0.825,0.458,0.83,0.644,0.99,0.049
RF8_ET1_BCDT15,4,0.15,0.881,0.399,0.889,0.644,0.989,0.071
DT7_ET1_BCDT15,5,0.05,0.892,0.388,0.901,0.644,0.989,0.078
BCDT14_RF8_BCDT15,5,0.1,0.887,0.394,0.895,0.644,0.989,0.075
DT7_ET1_BCDT15,5,0.25,0.784,0.499,0.789,0.644,0.99,0.04
DT7_RF8_BCDT15,6,0.25,0.789,0.495,0.794,0.644,0.99,0.042
RF8_ET1_BCDT15,2,0.25,0.813,0.467,0.819,0.643,0.99,0.047
BCDT14_RF8_ET1,3,0.15,0.874,0.405,0.882,0.643,0.989,0.068
BCDT14_ET1_BCDT15,3,0.3,0.791,0.49,0.796,0.643,0.99,0.042
DT7_RF8_ET1,4,0.05,0.926,0.351,0.935,0.643,0.989,0.11
DT7_BCDT14_BCDT15,5,0.3,0.752,0.531,0.756,0.643,0.99,0.035
DT7_BCDT14_ET1,2,0.05,0.886,0.39,0.894,0.642,0.989,0.073
BCDT14_RF8_ET1,2,0.15,0.857,0.42,0.864,0.642,0.989,0.06
DT7_BCDT14_RF8_ET1_BCDT15,2,0.25,0.807,0.471,0.812,0.642,0.99,0.044
DT7_BCDT14_ET1,3,0.25,0.795,0.483,0.8,0.642,0.99,0.042
BCDT14_RF8_BCDT15,3,0.4,0.739,0.54,0.743,0.642,0.99,0.033
DT7_BCDT14_RF8_ET1_BCDT15,4,0.3,0.8,0.477,0.806,0.642,0.99,0.043
DT7_RF8_BCDT15,5,0.3,0.763,0.517,0.767,0.642,0.99,0.036
DT7_BCDT14_RF8_ET1_BCDT15,6,0.05,0.931,0.343,0.94,0.642,0.989,0.115
DT7_BCDT14_BCDT15,6,0.05,0.891,0.385,0.899,0.642,0.989,0.078
DT7_BCDT14_BCDT15,6,0.15,0.817,0.462,0.823,0.642,0.989,0.047
DT7_BCDT14_RF8_ET1_BCDT15,6,0.25,0.825,0.452,0.831,0.642,0.989,0.049
DT7_ET1_BCDT15,2,0.25,0.775,0.501,0.78,0.641,0.99,0.038
DT7_RF8_BCDT15,3,0.3,0.761,0.518,0.765,0.641,0.99,0.036
BCDT14_RF8_BCDT15,4,0.3,0.777,0.5,0.781,0.641,0.99,0.039
DT7_BCDT14_BCDT15,5,0.05,0.892,0.381,0.9,0.641,0.989,0.076
DT7_BCDT14_BCDT15,5,0.1,0.854,0.421,0.861,0.641,0.989,0.058
BCDT14_ET1_BCDT15,5,0.15,0.853,0.423,0.86,0.641,0.989,0.058
BCDT14_ET1_BCDT15,5,0.3,0.8,0.476,0.806,0.641,0.99,0.043
DT7_RF8_BCDT15,6,0.15,0.84,0.436,0.847,0.641,0.989,0.053
