Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT7_RF8_ET1,3,0.3,0.776,0.48,0.781,0.63,0.989,0.036
DT7_RF8_BCDT15,3,0.3,0.737,0.519,0.741,0.63,0.99,0.031
RF8_ET1_BCDT15,4,0.05,0.918,0.332,0.927,0.63,0.988,0.091
DT7_BCDT14_BCDT15,4,0.3,0.727,0.53,0.731,0.63,0.99,0.03
DT7_ET1_BCDT15,4,0.3,0.697,0.561,0.699,0.63,0.99,0.027
DT7_RF8_BCDT15,4,0.4,0.709,0.548,0.712,0.63,0.99,0.028
BCDT14_ET1_BCDT15,4,0.5,0.73,0.526,0.734,0.63,0.99,0.03
RF8_ET1_BCDT15,4,0.5,0.713,0.543,0.716,0.63,0.99,0.028
DT7_BCDT14_RF8_ET1_BCDT15,5,0.05,0.916,0.335,0.925,0.63,0.988,0.088
DT7_BCDT14_RF8,5,0.1,0.909,0.342,0.918,0.63,0.988,0.084
BCDT14_ET1_BCDT15,5,0.1,0.866,0.387,0.874,0.63,0.989,0.059
BCDT14_RF8_BCDT15,5,0.25,0.826,0.427,0.832,0.63,0.989,0.045
DT7_BCDT14_RF8,6,0.1,0.902,0.349,0.911,0.63,0.989,0.077
DT7_ET1_BCDT15,6,0.15,0.761,0.494,0.765,0.63,0.989,0.035
DT7_BCDT14_RF8_ET1_BCDT15,6,0.5,0.73,0.527,0.733,0.63,0.99,0.029
DT7_RF8_BCDT15,2,0.3,0.731,0.524,0.734,0.629,0.99,0.03
DT7_BCDT14_RF8,4,0.05,0.934,0.314,0.944,0.629,0.988,0.111
DT7_BCDT14_RF8,4,0.1,0.904,0.345,0.913,0.629,0.988,0.078
DT7_BCDT14_ET1,4,0.3,0.772,0.481,0.777,0.629,0.989,0.035
DT7_RF8_ET1,4,0.3,0.775,0.477,0.78,0.629,0.989,0.035
DT7_RF8_ET1,4,0.4,0.746,0.508,0.75,0.629,0.989,0.032
DT7_BCDT14_BCDT15,4,0.5,0.685,0.571,0.687,0.629,0.99,0.025
BCDT14_ET1_BCDT15,5,0.4,0.756,0.499,0.76,0.629,0.989,0.033
DT7_BCDT14_ET1,6,0.25,0.789,0.463,0.795,0.629,0.989,0.038
DT7_ET1_BCDT15,6,0.25,0.723,0.532,0.726,0.629,0.99,0.029
DT7_RF8_BCDT15,6,0.5,0.677,0.579,0.679,0.629,0.99,0.025
DT7_ET1_BCDT15,2,0.15,0.771,0.481,0.776,0.628,0.989,0.035
DT7_ET1_BCDT15,2,0.25,0.734,0.518,0.738,0.628,0.989,0.031
DT7_ET1_BCDT15,2,0.3,0.714,0.539,0.717,0.628,0.99,0.028
BCDT14_RF8_ET1,3,0.25,0.842,0.407,0.849,0.628,0.989,0.049
BCDT14_RF8_ET1,3,0.3,0.803,0.448,0.808,0.628,0.989,0.039
DT7_BCDT14_BCDT15,4,0.1,0.828,0.42,0.835,0.628,0.989,0.047
DT7_BCDT14_ET1,4,0.15,0.836,0.413,0.843,0.628,0.989,0.048
DT7_ET1_BCDT15,4,0.4,0.698,0.556,0.7,0.628,0.99,0.027
BCDT14_RF8_ET1,5,0.15,0.874,0.374,0.882,0.628,0.989,0.061
BCDT14_ET1_BCDT15,6,0.05,0.875,0.373,0.883,0.628,0.989,0.063
RF8_ET1_BCDT15,6,0.1,0.891,0.357,0.899,0.628,0.989,0.071
DT7_BCDT14_RF8_ET1_BCDT15,6,0.4,0.758,0.494,0.763,0.628,0.989,0.033
DT7_BCDT14_RF8,6,0.5,0.735,0.518,0.739,0.628,0.989,0.03
BCDT14_RF8_ET1,2,0.3,0.801,0.448,0.807,0.627,0.989,0.04
DT7_BCDT14_RF8_ET1_BCDT15,2,0.5,0.713,0.538,0.716,0.627,0.99,0.027
DT7_BCDT14_ET1,3,0.15,0.843,0.404,0.85,0.627,0.989,0.048
BCDT14_RF8_ET1,3,0.4,0.786,0.463,0.792,0.627,0.989,0.036
DT7_RF8_ET1,4,0.05,0.909,0.337,0.918,0.627,0.988,0.08
DT7_BCDT14_RF8,5,0.05,0.928,0.315,0.938,0.627,0.988,0.1
DT7_BCDT14_ET1,5,0.05,0.857,0.389,0.865,0.627,0.989,0.053
DT7_RF8_ET1,5,0.1,0.878,0.367,0.887,0.627,0.989,0.064
RF8_ET1_BCDT15,5,0.1,0.893,0.352,0.901,0.627,0.988,0.071
DT7_BCDT14_ET1,6,0.1,0.854,0.393,0.862,0.627,0.989,0.053
DT7_BCDT14_ET1,3,0.05,0.878,0.365,0.886,0.626,0.988,0.061
DT7_ET1_BCDT15,3,0.4,0.714,0.535,0.717,0.626,0.99,0.027
BCDT14_ET1_BCDT15,3,0.4,0.756,0.492,0.76,0.626,0.989,0.032
BCDT14_RF8_BCDT15,5,0.05,0.935,0.306,0.945,0.626,0.988,0.111
BCDT14_ET1_BCDT15,5,0.05,0.878,0.365,0.886,0.626,0.988,0.061
BCDT14_RF8_ET1,5,0.3,0.809,0.437,0.815,0.626,0.989,0.04
DT7_BCDT14_BCDT15,6,0.5,0.685,0.564,0.687,0.626,0.99,0.025
DT7_BCDT14_BCDT15,2,0.15,0.789,0.456,0.794,0.625,0.989,0.037
DT7_BCDT14_ET1,2,0.5,0.707,0.539,0.71,0.625,0.99,0.026
BCDT14_RF8_ET1,3,0.05,0.921,0.319,0.931,0.625,0.988,0.091
DT7_BCDT14_ET1,3,0.3,0.77,0.476,0.774,0.625,0.989,0.033
DT7_ET1_BCDT15,4,0.1,0.807,0.437,0.813,0.625,0.989,0.041
DT7_RF8_ET1,4,0.15,0.862,0.381,0.87,0.625,0.989,0.055
DT7_BCDT14_RF8,5,0.25,0.82,0.424,0.826,0.625,0.989,0.043
BCDT14_ET1_BCDT15,5,0.25,0.792,0.452,0.797,0.625,0.989,0.037
RF8_ET1_BCDT15,5,0.4,0.751,0.494,0.755,0.625,0.989,0.031
DT7_ET1_BCDT15,5,0.5,0.667,0.582,0.668,0.625,0.99,0.023
DT7_BCDT14_RF8,6,0.05,0.919,0.323,0.928,0.625,0.988,0.092
DT7_RF8_BCDT15,2,0.15,0.794,0.449,0.8,0.624,0.989,0.038
BCDT14_RF8_ET1,3,0.15,0.882,0.357,0.89,0.624,0.988,0.063
DT7_BCDT14_RF8,3,0.3,0.802,0.439,0.808,0.624,0.989,0.038
DT7_BCDT14_BCDT15,3,0.3,0.737,0.506,0.741,0.624,0.989,0.03
DT7_BCDT14_RF8,3,0.4,0.78,0.462,0.786,0.624,0.989,0.034
BCDT14_ET1_BCDT15,4,0.1,0.858,0.381,0.866,0.624,0.989,0.053
DT7_RF8_ET1,6,0.1,0.886,0.354,0.895,0.624,0.988,0.067
DT7_RF8_BCDT15,6,0.4,0.705,0.54,0.708,0.624,0.99,0.026
BCDT14_RF8_BCDT15,2,0.15,0.86,0.379,0.868,0.623,0.988,0.053
BCDT14_ET1_BCDT15,2,0.5,0.714,0.529,0.717,0.623,0.989,0.026
RF8_ET1_BCDT15,2,0.5,0.698,0.546,0.7,0.623,0.99,0.025
BCDT14_RF8_ET1,4,0.1,0.901,0.335,0.911,0.623,0.988,0.074
DT7_ET1_BCDT15,4,0.5,0.657,0.587,0.658,0.623,0.99,0.022
BCDT14_RF8_ET1,5,0.25,0.831,0.407,0.838,0.623,0.989,0.044
DT7_BCDT14_ET1,6,0.05,0.86,0.377,0.868,0.623,0.988,0.054
