Clasificador,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
DT5.1_RFC1.2_ET8,0.3,0.876,0.572,0.879,0.725,0.995,0.074
DT5.2_RFC1.1_RFC1.2,0.3,0.869,0.582,0.872,0.727,0.995,0.07
DT5.2_RFC1.1_ET8,0.3,0.892,0.558,0.895,0.727,0.995,0.084
DT5.2_RFC1.2_ET8,0.3,0.872,0.574,0.875,0.725,0.995,0.071
RFC1.1_RFC1.2_ET8,0.3,0.875,0.577,0.878,0.728,0.995,0.075
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.4,0.861,0.574,0.864,0.719,0.995,0.064
DT5.1_DT5.2_RFC1.1,0.4,0.837,0.561,0.84,0.7,0.994,0.05
DT5.1_DT5.2_RFC1.2,0.4,0.825,0.57,0.828,0.699,0.994,0.046
DT5.1_DT5.2_ET8,0.4,0.845,0.535,0.848,0.692,0.994,0.05
DT5.1_RFC1.1_RFC1.2,0.4,0.844,0.596,0.847,0.722,0.995,0.058
DT5.1_RFC1.1_ET8,0.4,0.872,0.551,0.875,0.713,0.994,0.068
DT5.1_RFC1.2_ET8,0.4,0.858,0.561,0.861,0.711,0.994,0.062
DT5.2_RFC1.1_RFC1.2,0.4,0.84,0.602,0.843,0.722,0.995,0.057
DT5.2_RFC1.1_ET8,0.4,0.868,0.567,0.871,0.719,0.995,0.068
DT5.2_RFC1.2_ET8,0.4,0.851,0.582,0.854,0.718,0.995,0.061
RFC1.1_RFC1.2_ET8,0.4,0.85,0.589,0.853,0.721,0.995,0.06
DT5.1_DT5.2_RFC1.1_RFC1.2_ET8,0.5,0.818,0.591,0.821,0.706,0.995,0.047
DT5.1_DT5.2_RFC1.1,0.5,0.79,0.577,0.792,0.685,0.994,0.036
DT5.1_DT5.2_RFC1.2,0.5,0.78,0.586,0.782,0.684,0.994,0.035
DT5.1_DT5.2_ET8,0.5,0.801,0.567,0.803,0.685,0.994,0.038
DT5.1_RFC1.1_RFC1.2,0.5,0.804,0.602,0.806,0.704,0.995,0.043
DT5.1_RFC1.1_ET8,0.5,0.834,0.579,0.837,0.708,0.995,0.051
DT5.1_RFC1.2_ET8,0.5,0.819,0.595,0.821,0.708,0.995,0.047
DT5.2_RFC1.1_RFC1.2,0.5,0.798,0.596,0.8,0.698,0.995,0.041
DT5.2_RFC1.1_ET8,0.5,0.827,0.568,0.83,0.699,0.994,0.048
DT5.2_RFC1.2_ET8,0.5,0.811,0.582,0.814,0.698,0.994,0.043
RFC1.1_RFC1.2_ET8,0.5,0.814,0.586,0.817,0.701,0.995,0.045
