Clasificador,FeatureSelection,UnderSampling,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa
SVC_Linear,3,0.5,0.605,0.48,0.607,0.544,0.986,0.007
LinearSVC,3,0.5,0.58,0.512,0.581,0.547,0.986,0.007
KNeighbors,3,0.5,0.707,0.368,0.712,0.54,0.985,0.013
RandomForest,3,0.5,0.737,0.466,0.742,0.604,0.988,0.028
AdaBoost,3,0.5,0.929,0.124,0.943,0.533,0.985,0.029
GradientBoosting,3,0.5,0.903,0.194,0.914,0.554,0.986,0.034
GaussianNB,3,0.5,0.757,0.293,0.765,0.529,0.985,0.011
SGD,3,0.5,0.589,0.437,0.591,0.514,0.92,0.004
DecisionTree,3,0.5,0.693,0.52,0.696,0.608,0.989,0.023
ExtraTrees,3,0.5,0.719,0.501,0.723,0.612,0.989,0.029
BaggingClassifierDT,3,0.5,0.703,0.5,0.707,0.603,0.988,0.023
BaggingClassifierLSVC,3,0.5,0.559,0.538,0.56,0.549,0.987,0.007
SVC,4,0.05,0.566,0.556,0.566,0.561,0.987,0.009
SVC_Linear,4,0.05,0.59,0.528,0.591,0.56,0.987,0.009
LinearSVC,4,0.05,0.57,0.564,0.57,0.567,0.988,0.01
KNeighbors,4,0.05,0.956,0.1,0.97,0.535,0.985,0.091
RandomForest,4,0.05,0.924,0.358,0.933,0.646,0.989,0.205
AdaBoost,4,0.05,0.984,0.003,1.0,0.501,0.984,0.005
GradientBoosting,4,0.05,0.983,0.034,0.998,0.516,0.984,0.056
GaussianNB,4,0.05,0.976,0.012,0.992,0.502,0.984,0.005
SGD,4,0.05,0.615,0.399,0.619,0.509,0.887,0.001
DecisionTree,4,0.05,0.878,0.424,0.885,0.655,0.989,0.128
ExtraTrees,4,0.05,0.888,0.416,0.896,0.656,0.989,0.18
BaggingClassifierDT,4,0.05,0.917,0.345,0.926,0.636,0.989,0.175
BaggingClassifierLSVC,4,0.05,0.553,0.578,0.553,0.565,0.988,0.009
SVC,4,0.1,0.564,0.513,0.565,0.539,0.986,0.006
SVC_Linear,4,0.1,0.587,0.494,0.588,0.541,0.986,0.006
LinearSVC,4,0.1,0.572,0.518,0.572,0.545,0.986,0.007
KNeighbors,4,0.1,0.934,0.124,0.947,0.536,0.985,0.065
RandomForest,4,0.1,0.873,0.398,0.88,0.639,0.989,0.121
AdaBoost,4,0.1,0.983,0.003,0.999,0.501,0.984,0.004
GradientBoosting,4,0.1,0.981,0.041,0.997,0.519,0.985,0.06
GaussianNB,4,0.1,0.971,0.026,0.986,0.506,0.984,0.013
SGD,4,0.1,0.399,0.643,0.395,0.519,0.988,0.005
DecisionTree,4,0.1,0.82,0.44,0.826,0.633,0.989,0.064
ExtraTrees,4,0.1,0.835,0.441,0.841,0.641,0.989,0.098
BaggingClassifierDT,4,0.1,0.868,0.388,0.876,0.632,0.989,0.099
BaggingClassifierLSVC,4,0.1,0.548,0.545,0.548,0.546,0.987,0.006
SVC,4,0.2,0.582,0.534,0.583,0.559,0.987,0.009
SVC_Linear,4,0.2,0.588,0.521,0.589,0.555,0.987,0.008
LinearSVC,4,0.2,0.571,0.558,0.571,0.565,0.988,0.009
KNeighbors,4,0.2,0.931,0.16,0.944,0.552,0.986,0.046
RandomForest,4,0.2,0.891,0.418,0.899,0.658,0.99,0.107
AdaBoost,4,0.2,0.98,0.014,0.996,0.505,0.984,0.015
GradientBoosting,4,0.2,0.974,0.087,0.988,0.537,0.985,0.083
GaussianNB,4,0.2,0.963,0.047,0.978,0.513,0.984,0.017
SGD,4,0.2,0.597,0.444,0.6,0.522,0.887,0.008
DecisionTree,4,0.2,0.83,0.478,0.836,0.657,0.99,0.06
ExtraTrees,4,0.2,0.867,0.446,0.874,0.66,0.99,0.09
BaggingClassifierDT,4,0.2,0.881,0.412,0.889,0.65,0.989,0.08
BaggingClassifierLSVC,4,0.2,0.569,0.554,0.569,0.562,0.987,0.009
SVC,4,0.3,0.557,0.547,0.557,0.552,0.987,0.007
SVC_Linear,4,0.3,0.589,0.516,0.59,0.553,0.987,0.008
LinearSVC,4,0.3,0.571,0.528,0.572,0.55,0.987,0.007
KNeighbors,4,0.3,0.864,0.224,0.875,0.55,0.986,0.027
RandomForest,4,0.3,0.833,0.438,0.84,0.639,0.989,0.063
AdaBoost,4,0.3,0.97,0.044,0.985,0.515,0.984,0.03
GradientBoosting,4,0.3,0.959,0.116,0.973,0.544,0.985,0.065
GaussianNB,4,0.3,0.914,0.104,0.928,0.516,0.984,0.011
SGD,4,0.3,0.418,0.622,0.415,0.518,0.936,0.005
DecisionTree,4,0.3,0.766,0.521,0.77,0.645,0.99,0.04
ExtraTrees,4,0.3,0.807,0.481,0.812,0.647,0.99,0.057
BaggingClassifierDT,4,0.3,0.818,0.464,0.824,0.644,0.989,0.051
BaggingClassifierLSVC,4,0.3,0.556,0.545,0.556,0.551,0.987,0.007
SVC,4,0.4,0.576,0.505,0.577,0.541,0.986,0.006
SVC_Linear,4,0.4,0.589,0.493,0.59,0.542,0.986,0.006
LinearSVC,4,0.4,0.566,0.533,0.567,0.55,0.987,0.007
KNeighbors,4,0.4,0.816,0.301,0.825,0.563,0.986,0.023
RandomForest,4,0.4,0.802,0.49,0.808,0.649,0.99,0.052
AdaBoost,4,0.4,0.95,0.093,0.964,0.528,0.985,0.035
GradientBoosting,4,0.4,0.937,0.184,0.95,0.567,0.986,0.063
GaussianNB,4,0.4,0.816,0.223,0.826,0.525,0.985,0.013
SGD,4,0.4,0.62,0.407,0.623,0.515,0.987,0.002
DecisionTree,4,0.4,0.736,0.529,0.739,0.634,0.99,0.032
ExtraTrees,4,0.4,0.784,0.502,0.789,0.645,0.99,0.047
BaggingClassifierDT,4,0.4,0.774,0.498,0.779,0.638,0.99,0.038
BaggingClassifierLSVC,4,0.4,0.554,0.547,0.554,0.55,0.987,0.007
SVC,4,0.5,0.569,0.511,0.57,0.54,0.986,0.006
SVC_Linear,4,0.5,0.586,0.5,0.588,0.544,0.986,0.007
LinearSVC,4,0.5,0.548,0.545,0.548,0.547,0.987,0.007
KNeighbors,4,0.5,0.762,0.353,0.768,0.561,0.986,0.018
RandomForest,4,0.5,0.771,0.507,0.776,0.641,0.99,0.041
AdaBoost,4,0.5,0.917,0.153,0.93,0.542,0.985,0.032
GradientBoosting,4,0.5,0.908,0.223,0.919,0.571,0.986,0.047
GaussianNB,4,0.5,0.766,0.282,0.774,0.528,0.985,0.012
SGD,4,0.5,0.513,0.505,0.514,0.509,0.935,0.002
DecisionTree,4,0.5,0.705,0.548,0.707,0.628,0.99,0.027
ExtraTrees,4,0.5,0.756,0.523,0.76,0.641,0.99,0.039
BaggingClassifierDT,4,0.5,0.738,0.516,0.741,0.629,0.989,0.031
BaggingClassifierLSVC,4,0.5,0.553,0.543,0.553,0.548,0.987,0.007
SVC,5,0.05,0.509,0.591,0.507,0.549,0.987,0.006
SVC_Linear,5,0.05,0.589,0.512,0.59,0.551,0.987,0.008
LinearSVC,5,0.05,0.554,0.547,0.554,0.551,0.987,0.007
KNeighbors,5,0.05,0.98,0.072,0.995,0.533,0.985,0.09
RandomForest,5,0.05,0.96,0.271,0.971,0.621,0.988,0.196
AdaBoost,5,0.05,0.984,0.003,1.0,0.502,0.984,0.006
GradientBoosting,5,0.05,0.983,0.043,0.998,0.521,0.985,0.072
GaussianNB,5,0.05,0.97,0.019,0.985,0.502,0.984,0.006
SGD,5,0.05,0.492,0.551,0.492,0.521,0.987,0.004
DecisionTree,5,0.05,0.943,0.318,0.953,0.636,0.988,0.14
ExtraTrees,5,0.05,0.952,0.288,0.963,0.625,0.988,0.177
BaggingClassifierDT,5,0.05,0.964,0.265,0.976,0.62,0.988,0.195
BaggingClassifierLSVC,5,0.05,0.541,0.561,0.541,0.551,0.987,0.007
SVC,5,0.1,0.554,0.536,0.554,0.545,0.987,0.006
SVC_Linear,5,0.1,0.586,0.503,0.587,0.545,0.986,0.007
LinearSVC,5,0.1,0.57,0.523,0.571,0.547,0.987,0.007
KNeighbors,5,0.1,0.969,0.093,0.983,0.538,0.985,0.071
RandomForest,5,0.1,0.96,0.315,0.97,0.643,0.989,0.228
AdaBoost,5,0.1,0.983,0.011,0.999,0.505,0.984,0.018
GradientBoosting,5,0.1,0.981,0.062,0.996,0.529,0.985,0.089
GaussianNB,5,0.1,0.958,0.045,0.973,0.509,0.984,0.015
SGD,5,0.1,0.531,0.502,0.532,0.517,0.986,0.002
DecisionTree,5,0.1,0.915,0.389,0.924,0.657,0.989,0.107
ExtraTrees,5,0.1,0.95,0.334,0.96,0.647,0.989,0.186
BaggingClassifierDT,5,0.1,0.952,0.33,0.962,0.646,0.989,0.169
BaggingClassifierLSVC,5,0.1,0.555,0.544,0.555,0.549,0.987,0.007
