Clasificador,Accuracy,Balanced_Accuracy,PrecisionN,RecallN,PrecisionP,RecallP,F1,True_Negative,False_Positive,False_Negative,True_Positive
SGD,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
SGD,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
SGD,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
SGD,0.908256880733945,0.5,-1,0.0,0.908256880733945,1.0,0.9519230769230769,0,10,0,99
SGD,0.9166666666666666,0.5,-1,0.0,0.9166666666666666,1.0,0.9565217391304348,0,9,0,99
SGD,0.9166666666666666,0.5,-1,0.0,0.9166666666666666,1.0,0.9565217391304348,0,9,0,99
SGD,0.9259259259259259,0.5555555555555556,1.0,0.1111111111111111,0.9252336448598131,1.0,0.9611650485436893,1,8,0,99
SGD,0.9166666666666666,0.5,-1,0.0,0.9166666666666666,1.0,0.9565217391304348,0,9,0,99
SGD,0.9166666666666666,0.5,-1,0.0,0.9166666666666666,1.0,0.9565217391304348,0,9,0,99
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9166666666666666,0.55,1.0,0.1,0.9158878504672897,1.0,0.9560975609756098,1,9,0,98
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9259259259259259,0.6,1.0,0.2,0.9245283018867925,1.0,0.9607843137254902,2,8,0,98
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9166666666666666,0.55,1.0,0.1,0.9158878504672897,1.0,0.9560975609756098,1,9,0,98
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9074074074074074,0.5,-1,0.0,0.9074074074074074,1.0,0.9514563106796117,0,10,0,98
SGD,0.9259259259259259,0.6,1.0,0.2,0.9245283018867925,1.0,0.9607843137254902,2,8,0,98
