Clasificador,Accuracy,Balanced_Accuracy,PrecisionN,RecallN,PrecisionP,RecallP,F1,True_Negative,False_Positive,False_Negative,True_Positive
KNeighbors,0.8796296296296297,0.5295918367346939,0.2,0.1,0.912621359223301,0.9591836734693877,0.9353233830845772,1,9,4,94
KNeighbors,0.8518518518518519,0.5591836734693878,0.2,0.2,0.9183673469387755,0.9183673469387755,0.9183673469387755,2,8,8,90
KNeighbors,0.8703703703703703,0.5244897959183674,0.16666666666666666,0.1,0.9117647058823529,0.9489795918367347,0.9300000000000002,1,9,5,93
KNeighbors,0.8981481481481481,0.5846938775510204,0.4,0.2,0.9223300970873787,0.9693877551020408,0.9452736318407962,2,8,3,95
KNeighbors,0.8888888888888888,0.7142857142857143,0.4166666666666667,0.5,0.9479166666666666,0.9285714285714286,0.9381443298969072,5,5,7,91
KNeighbors,0.8703703703703703,0.5244897959183674,0.16666666666666666,0.1,0.9117647058823529,0.9489795918367347,0.9300000000000002,1,9,5,93
KNeighbors,0.9259259259259259,0.6,1.0,0.2,0.9245283018867925,1.0,0.9607843137254902,2,8,0,98
KNeighbors,0.9444444444444444,0.8346938775510204,0.7,0.7,0.9693877551020408,0.9693877551020408,0.9693877551020408,7,3,3,95
KNeighbors,0.9351851851851852,0.7397959183673469,0.7142857142857143,0.5,0.9504950495049505,0.9795918367346939,0.964824120603015,5,5,2,96
KNeighbors,0.9074074074074074,0.6795918367346938,0.5,0.4,0.94,0.9591836734693877,0.9494949494949495,4,6,4,94
KNeighbors,0.9259259259259259,0.6448979591836734,0.75,0.3,0.9326923076923077,0.9897959183673469,0.9603960396039605,3,7,1,97
KNeighbors,0.8981481481481481,0.7193877551020409,0.45454545454545453,0.5,0.9484536082474226,0.9387755102040817,0.9435897435897437,5,5,6,92
KNeighbors,0.9351851851851852,0.65,1.0,0.3,0.9333333333333333,1.0,0.9655172413793104,3,7,0,98
KNeighbors,0.8796296296296297,0.5744897959183674,0.2857142857142857,0.2,0.9207920792079208,0.9489795918367347,0.934673366834171,2,8,5,93
KNeighbors,0.9351851851851852,0.7846938775510204,0.6666666666666666,0.6,0.9595959595959596,0.9693877551020408,0.964467005076142,6,4,3,95
RandomForest,0.981651376146789,0.9,1.0,0.8,0.9801980198019802,1.0,0.99,8,2,0,99
RandomForest,0.981651376146789,0.9,1.0,0.8,0.9801980198019802,1.0,0.99,8,2,0,99
RandomForest,0.9541284403669725,0.75,1.0,0.5,0.9519230769230769,1.0,0.9753694581280787,5,5,0,99
RandomForest,0.9357798165137615,0.694949494949495,0.8,0.4,0.9423076923076923,0.98989898989899,0.9655172413793104,4,6,1,98
RandomForest,0.9541284403669725,0.75,1.0,0.5,0.9519230769230769,1.0,0.9753694581280787,5,5,0,99
RandomForest,0.944954128440367,0.744949494949495,0.8333333333333334,0.5,0.9514563106796117,0.98989898989899,0.9702970297029703,5,5,1,98
RandomForest,0.9357798165137615,0.65,1.0,0.3,0.9339622641509434,1.0,0.9658536585365853,3,7,0,99
RandomForest,0.963302752293578,0.8,1.0,0.6,0.9611650485436893,1.0,0.9801980198019802,6,4,0,99
RandomForest,0.981651376146789,0.9,1.0,0.8,0.9801980198019802,1.0,0.99,8,2,0,99
RandomForest,0.9357798165137615,0.694949494949495,0.8,0.4,0.9423076923076923,0.98989898989899,0.9655172413793104,4,6,1,98
RandomForest,0.9537037037037037,0.7222222222222222,1.0,0.4444444444444444,0.9519230769230769,1.0,0.9753694581280787,4,5,0,99
RandomForest,0.9722222222222222,0.8333333333333333,1.0,0.6666666666666666,0.9705882352941176,1.0,0.9850746268656716,6,3,0,99
RandomForest,0.9907407407407407,0.9444444444444444,1.0,0.8888888888888888,0.99,1.0,0.9949748743718593,8,1,0,99
RandomForest,0.9814814814814815,0.8888888888888888,1.0,0.7777777777777778,0.9801980198019802,1.0,0.99,7,2,0,99
RandomForest,0.9351851851851852,0.7626262626262627,0.625,0.5555555555555556,0.96,0.9696969696969697,0.964824120603015,5,4,3,96
RandomForest,0.9259259259259259,0.6448979591836734,0.75,0.3,0.9326923076923077,0.9897959183673469,0.9603960396039605,3,7,1,97
RandomForest,0.9259259259259259,0.7795918367346939,0.6,0.6,0.9591836734693877,0.9591836734693877,0.9591836734693877,6,4,4,94
RandomForest,0.9629629629629629,0.8,1.0,0.6,0.9607843137254902,1.0,0.98,6,4,0,98
RandomForest,0.9444444444444444,0.7897959183673469,0.75,0.6,0.96,0.9795918367346939,0.9696969696969697,6,4,2,96
RandomForest,0.9907407407407407,0.95,1.0,0.9,0.98989898989899,1.0,0.9949238578680203,9,1,0,98
RandomForest,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10,0,0,98
