Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
LinearSVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
LinearSVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
LinearSVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
LinearSVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
LinearSVC,0.8723404255319149,0.5711382113821138,0.975609756097561,0.16666666666666666,0.9302325581395349,0.5711382113821137,1,5,1,40
LinearSVC,0.9574468085106383,0.8333333333333333,1.0,0.6666666666666666,0.9761904761904763,0.8333333333333334,4,2,0,41
LinearSVC,0.8297872340425532,0.47560975609756095,0.9512195121951219,0.0,0.9069767441860465,0.47560975609756095,0,6,2,39
LinearSVC,0.8936170212765957,0.5833333333333334,1.0,0.16666666666666666,0.9425287356321839,0.5833333333333333,1,5,0,41
KNeighbors,0.7708333333333334,0.7473867595818815,0.7804878048780488,0.7142857142857143,0.8533333333333334,0.7473867595818815,5,2,9,32
KNeighbors,0.875,0.8083623693379791,0.9024390243902439,0.7142857142857143,0.9249999999999999,0.8083623693379791,5,2,4,37
KNeighbors,0.9583333333333334,0.8571428571428572,1.0,0.7142857142857143,0.9761904761904763,0.8571428571428572,5,2,0,41
KNeighbors,0.875,0.6306620209059233,0.975609756097561,0.2857142857142857,0.9302325581395349,0.6306620209059233,2,5,1,40
KNeighbors,0.8541666666666666,0.5592334494773519,0.975609756097561,0.14285714285714285,0.9195402298850575,0.5592334494773519,1,6,1,40
KNeighbors,0.875,0.5714285714285714,1.0,0.14285714285714285,0.9318181818181819,0.5714285714285714,1,6,0,41
KNeighbors,0.9375,0.8214285714285714,0.9761904761904762,0.6666666666666666,0.9647058823529412,0.8214285714285715,4,2,1,41
KNeighbors,0.8958333333333334,0.5833333333333334,1.0,0.16666666666666666,0.9438202247191011,0.5833333333333333,1,5,0,42
KNeighbors,0.8958333333333334,0.5833333333333334,1.0,0.16666666666666666,0.9438202247191011,0.5833333333333333,1,5,0,42
KNeighbors,0.8958333333333334,0.6547619047619048,0.9761904761904762,0.3333333333333333,0.9425287356321839,0.6547619047619048,2,4,1,41
KNeighbors,0.8958333333333334,0.6547619047619048,0.9761904761904762,0.3333333333333333,0.9425287356321839,0.6547619047619048,2,4,1,41
KNeighbors,0.875,0.5,1.0,0.0,0.9333333333333333,0.5,0,6,0,42
KNeighbors,0.8958333333333334,0.5833333333333334,1.0,0.16666666666666666,0.9438202247191011,0.5833333333333333,1,5,0,42
KNeighbors,0.8541666666666666,0.4880952380952381,0.9761904761904762,0.0,0.9213483146067415,0.4880952380952381,0,6,1,41
KNeighbors,0.8958333333333334,0.5833333333333334,1.0,0.16666666666666666,0.9438202247191011,0.5833333333333333,1,5,0,42
