Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
GradientBoosting,0.9026548672566371,0.6333333333333333,1.0,0.26666666666666666,0.9468599033816426,0.6333333333333333,8,22,0,196
GradientBoosting,0.8982300884955752,0.6166666666666667,1.0,0.23333333333333334,0.944578313253012,0.6166666666666667,7,23,0,196
GradientBoosting,0.8761061946902655,0.6180272108843538,0.9693877551020408,0.26666666666666666,0.9313725490196079,0.6180272108843538,8,22,6,190
GradientBoosting,0.8938053097345132,0.6009102047960792,0.9949238578680203,0.20689655172413793,0.9423076923076922,0.600910204796079,6,23,1,196
GradientBoosting,0.915929203539823,0.7018204095921582,0.9898477157360406,0.41379310344827586,0.9535452322738387,0.7018204095921583,12,17,2,195
GradientBoosting,0.9247787610619469,0.721599859968493,0.9949238578680203,0.4482758620689655,0.9584352078239609,0.721599859968493,13,16,1,196
GradientBoosting,0.8849557522123894,0.6840539121302293,0.9543147208121827,0.41379310344827586,0.9353233830845771,0.6840539121302294,12,17,9,188
GradientBoosting,0.9026548672566371,0.7677227376159635,0.949238578680203,0.5862068965517241,0.9444444444444445,0.7677227376159637,17,12,10,187
GaussianNB,0.8722466960352423,0.5449238578680203,0.9898477157360406,0.1,0.9307875894988067,0.5449238578680202,3,27,2,195
GaussianNB,0.8938053097345132,0.6141156462585035,0.9948979591836735,0.23333333333333334,0.9420289855072465,0.6141156462585033,7,23,1,195
GaussianNB,0.8716814159292036,0.5166666666666667,1.0,0.03333333333333333,0.9311163895486936,0.5166666666666666,1,29,0,196
GaussianNB,0.8672566371681416,0.5141156462585035,0.9948979591836735,0.03333333333333333,0.9285714285714287,0.5141156462585034,1,29,1,195
GaussianNB,0.8672566371681416,0.5141156462585035,0.9948979591836735,0.03333333333333333,0.9285714285714287,0.5141156462585034,1,29,1,195
GaussianNB,0.8805309734513275,0.5638893751093996,0.9898477157360406,0.13793103448275862,0.935251798561151,0.5638893751093996,4,25,2,195
GaussianNB,0.8628318584070797,0.5537370908454402,0.9695431472081218,0.13793103448275862,0.9249394673123487,0.5537370908454403,4,25,6,191
GaussianNB,0.8716814159292036,0.5,1.0,0.0,0.9314420803782506,0.5,0,29,0,197
GaussianNB,0.8761061946902655,0.5466479957990548,0.9898477157360406,0.10344827586206896,0.9330143540669856,0.5466479957990548,3,26,2,195
GaussianNB,0.8805309734513275,0.5932959915981096,0.9796954314720813,0.20689655172413793,0.9346246973365617,0.5932959915981095,6,23,4,193
SGD,0.8766519823788547,0.5333333333333333,1.0,0.06666666666666667,0.933649289099526,0.5333333333333333,2,28,0,197
SGD,0.8805309734513275,0.55,1.0,0.1,0.9355608591885441,0.55,3,27,0,196
SGD,0.8716814159292036,0.5166666666666667,1.0,0.03333333333333333,0.9311163895486936,0.5166666666666666,1,29,0,196
SGD,0.8805309734513275,0.55,1.0,0.1,0.9355608591885441,0.55,3,27,0,196
SGD,0.8716814159292036,0.5307823129251701,0.9948979591836735,0.06666666666666667,0.9307875894988068,0.5307823129251701,2,28,1,195
SGD,0.8893805309734514,0.5689655172413793,1.0,0.13793103448275862,0.9403341288782816,0.5689655172413793,4,25,0,197
SGD,0.8716814159292036,0.5882198494661299,0.9695431472081218,0.20689655172413793,0.929440389294404,0.5882198494661299,6,23,6,191
SGD,0.8761061946902655,0.5172413793103449,1.0,0.034482758620689655,0.933649289099526,0.5172413793103448,1,28,0,197
SGD,0.8628318584070797,0.5684403990897953,0.9644670050761421,0.1724137931034483,0.9245742092457421,0.5684403990897953,5,24,7,190
SGD,0.8893805309734514,0.6424820584631542,0.9746192893401016,0.3103448275862069,0.938875305623472,0.6424820584631542,9,20,5,192
