Clasificador,Accuracy,Balanced_Accuracy,Recall,Specificity,F1,ROC_AUC,True_Negative,False_Positive,False_Negative,True_Positive
GaussianNB,0.06050955414012739,0.5016891891891891,0.0033783783783783786,1.0,0.006734006734006735,0.5016891891891891,18,0,295,1
GaussianNB,0.07006369426751592,0.5067567567567568,0.013513513513513514,1.0,0.026666666666666665,0.5067567567567568,18,0,292,4
GaussianNB,0.07006369426751592,0.5067567567567568,0.013513513513513514,1.0,0.026666666666666665,0.5067567567567568,18,0,292,4
GaussianNB,0.06050955414012739,0.5016891891891891,0.0033783783783783786,1.0,0.006734006734006735,0.5016891891891891,18,0,295,1
GaussianNB,0.06050955414012739,0.5,0.0,1.0,0.0,0.5,19,0,295,0
GaussianNB,0.06369426751592357,0.5016949152542373,0.003389830508474576,1.0,0.006756756756756757,0.5016949152542373,19,0,294,1
GaussianNB,0.06687898089171974,0.5033898305084745,0.006779661016949152,1.0,0.01346801346801347,0.5033898305084745,19,0,293,2
GaussianNB,0.06369426751592357,0.5016949152542373,0.003389830508474576,1.0,0.006756756756756757,0.5016949152542373,19,0,294,1
GaussianNB,0.06369426751592357,0.5016949152542373,0.003389830508474576,1.0,0.006756756756756757,0.5016949152542373,19,0,294,1
SGD,0.8825396825396825,0.49422119487908966,0.9358108108108109,0.05263157894736842,0.937394247038917,0.49422119487908966,1,18,19,277
SGD,0.910828025477707,0.5091966966966966,0.9628378378378378,0.05555555555555555,0.9531772575250835,0.5091966966966968,1,17,11,285
SGD,0.7929936305732485,0.4727852852852853,0.8344594594594594,0.1111111111111111,0.8837209302325582,0.4727852852852853,2,16,49,247
SGD,0.3980891719745223,0.5503003003003003,0.3783783783783784,0.7222222222222222,0.5423728813559322,0.5503003003003003,13,5,184,112
SGD,0.8089171974522293,0.559496996996997,0.8412162162162162,0.2777777777777778,0.8924731182795699,0.559496996996997,5,13,47,249
SGD,0.3184713375796178,0.5388046387154326,0.288135593220339,0.7894736842105263,0.44270833333333337,0.5388046387154327,15,4,210,85
SGD,0.10509554140127389,0.523728813559322,0.04745762711864407,1.0,0.09061488673139159,0.523728813559322,19,0,281,14
SGD,0.35668789808917195,0.41141837644959856,0.34915254237288135,0.47368421052631576,0.5049019607843137,0.41141837644959856,9,10,192,103
SGD,0.40764331210191085,0.5123996431757359,0.39322033898305087,0.631578947368421,0.5550239234449761,0.5123996431757359,12,7,179,116
SGD,0.5732484076433121,0.5266726137377341,0.5796610169491525,0.47368421052631576,0.7184873949579832,0.5266726137377342,9,10,124,171
