N_iteracion,Accuracy,Specifity,Recall,ROC_AUC,Precision,Kappa,,,
68,0.644,0.75,0.642,0.696,0.994,0.034,,,
69,0.673,0.645,0.674,0.659,0.991,0.03,,,
70,0.668,0.645,0.668,0.656,0.991,0.029,,,
71,0.642,0.618,0.642,0.63,0.99,0.023,,,
72,0.668,0.526,0.671,0.599,0.989,0.018,,,
73,0.665,0.632,0.665,0.648,0.991,0.027,,,
74,0.673,0.645,0.674,0.659,0.991,0.03,,,
75,0.663,0.605,0.663,0.634,0.99,0.025,,,
76,0.703,0.526,0.706,0.616,0.989,0.024,,,
77,0.669,0.579,0.67,0.625,0.99,0.023,,,
78,0.63,0.697,0.629,0.663,0.992,0.027,,,
79,0.688,0.711,0.688,0.699,0.993,0.039,,,
80,0.682,0.566,0.683,0.625,0.99,0.024,,,
81,0.694,0.566,0.696,0.631,0.99,0.026,,,
82,0.646,0.684,0.646,0.665,0.992,0.029,,,
83,0.67,0.461,0.674,0.567,0.987,0.013,,,
84,0.712,0.539,0.715,0.627,0.99,0.027,,,
85,0.678,0.605,0.68,0.642,0.991,0.027,,,
86,0.693,0.513,0.696,0.605,0.989,0.021,,,
87,0.697,0.5,0.7,0.6,0.988,0.021,,,
88,0.67,0.566,0.672,0.619,0.99,0.022,,,
89,0.688,0.553,0.69,0.621,0.99,0.024,,,
90,0.665,0.671,0.665,0.668,0.992,0.031,,,
91,0.681,0.632,0.682,0.657,0.991,0.03,,,
92,0.655,0.539,0.657,0.598,0.989,0.018,,,
93,0.643,0.526,0.645,0.586,0.988,0.015,,,
94,0.655,0.566,0.656,0.611,0.989,0.02,,,
95,0.685,0.618,0.686,0.652,0.991,0.03,,,
96,0.657,0.684,0.657,0.67,0.992,0.03,,,
97,0.707,0.539,0.71,0.625,0.99,0.026,,,
98,0.682,0.645,0.683,0.664,0.992,0.032,,,
99,0.624,0.553,0.626,0.589,0.988,0.015,,,
