Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.8256,0.4375,0.8294,0.5513,0.8333,0.5486,0.8506,0.625,0.8528,4112,21,27,846,2720,40,8,2238,4228,30,18,730
0.8244,0.4167,0.8284,0.5408,0.7917,0.5383,0.8454,0.6042,0.8477,4107,20,28,851,2669,38,10,2289,4203,29,19,755
0.8176,0.3125,0.8225,0.5531,0.8333,0.5504,0.8464,0.6875,0.8479,4078,15,33,880,2729,40,8,2229,4204,33,15,754
0.8276,0.375,0.832,0.5503,0.7292,0.5486,0.838,0.5208,0.8411,4125,18,30,833,2720,35,13,2238,4170,25,23,788
0.8206,0.375,0.8249,0.5304,0.7708,0.528,0.8456,0.6667,0.8473,4090,18,30,868,2618,37,11,2340,4201,32,16,757
0.8284,0.375,0.8328,0.5437,0.7708,0.5415,0.8558,0.5833,0.8584,4129,18,30,829,2685,37,11,2273,4256,28,20,702
0.8186,0.375,0.8229,0.5304,0.7917,0.5278,0.8526,0.5625,0.8554,4080,18,30,878,2617,38,10,2341,4241,27,21,717
0.8254,0.2917,0.8306,0.5439,0.7083,0.5424,0.8578,0.6458,0.8598,4118,14,34,840,2689,34,14,2269,4263,31,17,695
0.8264,0.125,0.8332,0.5394,0.6667,0.5381,0.837,0.7292,0.838,4131,6,42,827,2668,32,16,2290,4155,35,13,803
0.82,0.3958,0.8241,0.5443,0.7917,0.542,0.8074,0.6875,0.8086,4086,19,29,872,2687,38,10,2271,4009,33,15,949
0.8164,0.2708,0.8217,0.5457,0.6667,0.5446,0.8666,0.625,0.8689,4074,13,35,884,2700,32,16,2258,4308,30,18,650
0.817,0.2917,0.8221,0.5342,0.7917,0.5317,0.8042,0.6667,0.8056,4076,14,34,882,2636,38,10,2322,3994,32,16,964
0.8156,0.3542,0.8201,0.5455,0.7292,0.5438,0.8256,0.7292,0.8265,4066,17,31,892,2696,35,13,2262,4098,35,13,860
0.8252,0.375,0.8296,0.5417,0.8542,0.5387,0.836,0.7083,0.8372,4113,18,30,845,2671,41,7,2287,4151,34,14,807
0.826,0.3958,0.8302,0.5465,0.75,0.5446,0.837,0.6042,0.8392,4116,19,29,842,2700,36,12,2258,4161,29,19,797
0.816,0.3958,0.8201,0.5366,0.7917,0.5341,0.8496,0.6458,0.8516,4066,19,29,892,2648,38,10,2310,4222,31,17,736
0.8224,0.3333,0.8271,0.5529,0.8542,0.55,0.8084,0.5833,0.8106,4101,16,32,857,2727,41,7,2231,4019,28,20,939
0.8198,0.2292,0.8255,0.5306,0.7292,0.5286,0.8352,0.75,0.836,4093,11,37,865,2621,35,13,2337,4145,36,12,813
0.8306,0.3542,0.8352,0.541,0.875,0.5377,0.8128,0.6667,0.8142,4141,17,31,817,2666,42,6,2292,4037,32,16,921
0.8198,0.3333,0.8245,0.5537,0.7292,0.552,0.8346,0.5833,0.837,4088,16,32,870,2737,35,13,2221,4150,28,20,808
0.828,0.375,0.8324,0.5336,0.7917,0.5311,0.8538,0.4583,0.8576,4127,18,30,831,2633,38,10,2325,4252,22,26,706
0.8306,0.25,0.8362,0.5495,0.7083,0.548,0.8144,0.6042,0.8165,4146,12,36,812,2717,34,14,2241,4048,29,19,910
0.825,0.3125,0.83,0.5425,0.6875,0.5411,0.8534,0.7292,0.8546,4115,15,33,843,2683,33,15,2275,4237,35,13,721
0.8266,0.375,0.831,0.5487,0.8125,0.5462,0.8288,0.625,0.8308,4120,18,30,838,2708,39,9,2250,4119,30,18,839
0.8184,0.3333,0.8231,0.5421,0.7708,0.5399,0.8412,0.6875,0.8427,4081,16,32,877,2677,37,11,2281,4178,33,15,780
0.8144,0.375,0.8187,0.5408,0.8333,0.5379,0.8212,0.75,0.8219,4059,18,30,899,2667,40,8,2291,4075,36,12,883
0.824,0.3333,0.8288,0.5328,0.7292,0.5309,0.8466,0.6458,0.8485,4109,16,32,849,2632,35,13,2326,4207,31,17,751
0.8272,0.4792,0.8306,0.5485,0.8333,0.5458,0.8292,0.7083,0.8304,4118,23,25,840,2706,40,8,2252,4117,34,14,841
0.8258,0.3333,0.8306,0.5435,0.7708,0.5413,0.8238,0.5417,0.8265,4118,16,32,840,2684,37,11,2274,4098,26,22,860
0.821,0.3333,0.8257,0.5348,0.6458,0.5337,0.8282,0.625,0.8302,4094,16,32,864,2646,31,17,2312,4116,30,18,842
0.8208,0.3125,0.8257,0.5511,0.7292,0.5494,0.8416,0.7083,0.8429,4094,15,33,864,2724,35,13,2234,4179,34,14,779
0.8158,0.3542,0.8203,0.5358,0.7292,0.5339,0.8418,0.5833,0.8443,4067,17,31,891,2647,35,13,2311,4186,28,20,772
0.8118,0.3333,0.8165,0.5396,0.7083,0.5379,0.86,0.6875,0.8616,4048,16,32,910,2667,34,14,2291,4272,33,15,686
0.8162,0.375,0.8205,0.5334,0.7292,0.5315,0.8518,0.7083,0.8532,4068,18,30,890,2635,35,13,2323,4230,34,14,728
0.82,0.3542,0.8245,0.5425,0.75,0.5405,0.8562,0.6875,0.8578,4088,17,31,870,2680,36,12,2278,4253,33,15,705
0.8254,0.375,0.8298,0.5485,0.7083,0.547,0.8296,0.6458,0.8314,4114,18,30,844,2712,34,14,2246,4122,31,17,836
