learning_rate,max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.1,5,32,0.9503173424656064,0.7596632710809281,0.9997311827956988,0.9846774193548388,0.9731393285043868,0.9446882688422333,0.6337574850299401,0.33216374269005844
0.1,5,64,0.9853711835162242,0.7573028673835126,1.0,0.9733870967741934,0.981575651412349,0.9409846461422253,0.7496613915027088,0.3646198830409356
0.1,5,100,0.9968221247596972,0.7507203829466139,1.0,0.971774193548387,0.98840178517025,0.9401508981081289,0.8434345594525234,0.36432748538011694
0.1,5,128,0.9996074463336511,0.7406208734201095,0.999910394265233,0.9645161290322581,0.9932818899666135,0.9366627147427214,0.9103685486170516,0.3695906432748538
0.2,1,1,0.6456567663444234,0.627395774382192,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.2,1,2,0.6585942011266765,0.6594769854744388,0.9997311827956988,1.0,0.9314359984173478,0.9312912004218923,0.02035928143712575,0.015789473684210527
0.2,1,4,0.7573504712285618,0.7068076777966421,0.9975806451612902,0.9975806451612904,0.9423191906033098,0.9422815404904601,0.20187125748502993,0.19649122807017544
0.2,1,8,0.794013026813756,0.7481324278438031,0.9974910394265233,0.9935483870967742,0.944514000679324,0.941271209449446,0.23530439121756483,0.2128654970760234
0.2,1,16,0.8176385707846979,0.7534616110167893,0.9939964157706094,0.9903225806451614,0.9471142994150876,0.942149667268715,0.2998003992015968,0.24970760233918127
0.2,1,32,0.8423748477187969,0.7618432842859838,0.9931003584229391,0.989516129032258,0.9505179324610257,0.9453550030473161,0.35656544054747646,0.30380116959064324
0.2,1,64,0.8581187375632758,0.7680484814186002,0.9947132616487455,0.989516129032258,0.953777872986799,0.946457099845388,0.3924222982606216,0.31959064327485376
0.2,1,100,0.8667225712425635,0.775808809658555,0.9949820788530467,0.9903225806451614,0.9551037799501068,0.9472233833702921,0.40973053892215566,0.3251461988304093
0.2,1,128,0.8708354093144995,0.7770927655159403,0.9945340501792115,0.9887096774193548,0.9565240851848988,0.9475021794884636,0.4336327345309382,0.3415204678362573
0.2,2,1,0.6960793019695376,0.6502275514053951,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
