learning_rate,max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.05,2,100,0.8491956052053599,0.7417256178079608,0.9948028673835125,0.9870967741935484,0.9552201425949963,0.9433014713050097,0.41272455089820365,0.2941520467836257
0.05,2,128,0.859535805501133,0.7377534899075646,0.9954301075268818,0.9870967741935484,0.957675405477503,0.9447567929643605,0.44379098944967216,0.3157894736842105
0.05,3,1,0.7099705159573327,0.6615308432371251,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,2,0.7332794951571511,0.6692711280890398,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,4,0.7471778441325234,0.6819326542161857,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,8,0.7555040536566396,0.7022118468213545,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,3,16,0.7621157981655737,0.7187936238445576,0.9996415770609319,0.9911290322580646,0.948486287014774,0.9381359745744915,0.2783361847733105,0.18859649122807015
0.05,3,32,0.8166355061893622,0.7267473118279569,0.9982078853046594,0.989516129032258,0.9555706602233706,0.9427613048283627,0.3930211006558312,0.26754385964912275
0.05,3,64,0.8684230633075887,0.7367631107338238,0.9988351254480288,0.9887096774193548,0.9585979444362607,0.9452607119901968,0.43243512974051895,0.3108187134502924
0.05,3,100,0.8896162583946291,0.7207732031692132,0.9989247311827958,0.9830645161290322,0.9647381695355062,0.9434811937641866,0.520280866837753,0.3269005847953216
0.05,3,128,0.9080193587479419,0.727655159403886,0.9990143369175627,0.9774193548387098,0.9659962921796327,0.940187136890357,0.5375891074992871,0.3216374269005848
0.05,4,1,0.7423286124244087,0.68620307489153,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,4,2,0.7504868303587399,0.6908248443689871,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,4,4,0.7567353388461172,0.6953098471986418,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,4,8,0.7621278883605038,0.7039674118090927,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,4,16,0.7801709385248958,0.708576212035465,0.999910394265233,0.9935483870967742,0.954588297387238,0.9396964823804707,0.3661106358711149,0.19356725146198828
0.05,4,32,0.8413019167757675,0.7081222882475006,0.9997311827956988,0.9830645161290322,0.9602853714758096,0.9401501646247704,0.45033147989734806,0.27865497076023393
0.05,4,64,0.9107785165715676,0.7230204206753444,0.9997311827956988,0.9846774193548387,0.9668546311868607,0.943556753786049,0.5447854291417167,0.3157894736842105
0.05,4,100,0.9421042020541609,0.7163895963025845,0.9998207885304659,0.9766129032258066,0.9694630920486015,0.9404651706940435,0.5812054462503563,0.33187134502923976
0.05,4,128,0.9582916524222421,0.7195116487455198,0.999910394265233,0.9709677419354839,0.9715335968394363,0.9381754665123945,0.6098731109210151,0.3423976608187134
0.05,5,1,0.7607839109287824,0.6973955385776269,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,5,2,0.7631745661263238,0.6929541595925298,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,5,4,0.7654711506326823,0.7028768156951518,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.05,5,8,0.782701847010025,0.7089381720430107,1.0,1.0,0.9302325969153813,0.9305848891892653,0.0,0.005263157894736842
0.05,5,16,0.8153415151903054,0.7137721656291267,1.0,0.9879032258064516,0.9586846502490977,0.9386545420629033,0.4252708867978329,0.21988304093567246
0.05,5,32,0.8616865874625557,0.7147814091680814,0.999910394265233,0.982258064516129,0.964525953042583,0.9430590366662784,0.5100869689193043,0.3263157894736842
0.05,5,64,0.9447154526073301,0.7140681003584229,1.0,0.9766129032258064,0.9706065975260708,0.9412567594008641,0.5961327345309382,0.3423976608187134
0.05,5,100,0.9771347218517393,0.7066732691944917,1.0,0.9725806451612904,0.9748060635320324,0.9417155096080032,0.6552502138579983,0.37953216374269005
0.05,5,128,0.9867974704073676,0.7009550084889644,1.0,0.9685483870967742,0.9789127316035527,0.940393681661873,0.7125998003992016,0.39005847953216377
0.1,1,1,0.6155645697851608,0.5577862667421242,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,1,2,0.6662058898715626,0.6352468873797397,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,1,4,0.6998811900009504,0.6762155725334842,1.0,1.0,0.9305433735872898,0.9302357016135845,0.004790419161676647,0.0
0.1,1,8,0.70552696610108,0.6868385681946803,1.0,1.0,0.9332278370094869,0.9323440339047939,0.045993726832050184,0.0324561403508772
0.1,1,16,0.7468932303084563,0.6873042822109036,0.9990143369175627,0.9967741935483871,0.9390669702139693,0.9339103645917415,0.14218349016253207,0.0804093567251462
0.1,1,32,0.7865839733104196,0.7282022259950953,0.9957885304659498,0.9879032258064516,0.9484561377086612,0.940137021626764,0.3063872255489022,0.2409356725146199
