max_depth,n_estimators,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
4,8,0.8499805033430323,0.7652789568006036,0.8043906810035842,0.7870967741935484,0.8700467470158092,0.8461640027485006,0.7114342743085258,0.6441520467836257
4,16,0.8572138796523696,0.7708639879268062,0.7955197132616487,0.771774193548387,0.865011955053211,0.8397767639920699,0.7150449101796406,0.6812865497076024
4,32,0.8626827773664141,0.7619352480664027,0.7926523297491039,0.7733870967741935,0.8639590715852457,0.8404058886921133,0.7204091816367265,0.6652046783625731
4,64,0.864612817056619,0.7704536879833994,0.7988351254480286,0.7790322580645161,0.866951743635347,0.8435624153227993,0.7102544910179641,0.6546783625730994
4,100,0.8674001619137558,0.7696495944161479,0.7933691756272402,0.7782258064516129,0.8638293772231147,0.8430445590114253,0.7132413743940691,0.6543859649122806
4,128,0.8673807227454973,0.7688384267119411,0.796236559139785,0.7782258064516128,0.8655430203707024,0.8439433728021604,0.7126497005988024,0.6707602339181287
8,1,0.8414579634893041,0.6165511224297302,0.9088709677419354,0.8661290322580644,0.9262239003620166,0.882097221041899,0.6469703450242373,0.3850877192982456
8,2,0.8961467298378155,0.6613846444067157,0.931899641577061,0.8725806451612902,0.9437163519579087,0.8939913777455498,0.7150591673795267,0.4760233918128655
8,4,0.9277374893709764,0.7074561403508772,0.956899641577061,0.9048387096774192,0.9573611196795726,0.9077669731031859,0.7198353293413173,0.42339181286549704
8,8,0.9487383847256842,0.7137933880399925,0.9661290322580645,0.9145161290322582,0.9648140485670819,0.9125445631706487,0.7562731679498147,0.40818713450292404
8,16,0.9565113133308397,0.7346208262591964,0.9734767025089605,0.939516129032258,0.9673931530809702,0.9274002013613725,0.7395423438836612,0.42397660818713445
8,32,0.9602980754440938,0.7219203923787966,0.9766129032258064,0.9330645161290322,0.9702542576698129,0.9238205837046266,0.7568470202452239,0.42397660818713445
