learning_rate,max_depth,n_estimators,Accuracy_Train,Accuracy_Test,ROC_AUC_Train,ROC_AUC_Test,Recall_Train,Recall_Test,F1_Train,F1_Test,Specificity_Train,Specificity_Test
0.1,3,1,0.8695653440752908,0.8695754949276076,0.779349244419507,0.7086363421995849,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,3,2,0.8695653440752908,0.8695754949276076,0.8100006560100486,0.7716126674212413,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,3,4,0.8700328159031476,0.8702747956269082,0.8184855711005025,0.7776079984908508,1.0,1.0,0.930465323159045,0.9305848891892653,0.0035821214713430286,0.005263157894736842
0.1,3,8,0.9092242067972502,0.8968679208115828,0.8375477906833542,0.7936698264478401,1.0,0.9943548387096776,0.95039805008676,0.9438654678860617,0.3039813230681494,0.24532163742690058
0.1,3,16,0.9286266247089305,0.9108933320200926,0.8758866643313474,0.8082295793246559,0.9990143369175627,0.9927419354838711,0.960542282465392,0.9510021331101873,0.4593527231251782,0.3640350877192982
0.1,3,32,0.9424180452259721,0.9129912341179948,0.9061486617778268,0.8069444444444445,0.9990143369175627,0.9846774193548388,0.9679251423293916,0.9516850413551877,0.5650734245794126,0.4342105263157895
0.1,3,64,0.9514563802225606,0.9073525066482813,0.9462768938569355,0.7963697887191097,0.9995519713261649,0.9750000000000002,0.9728384443734432,0.9481664597796883,0.6307812945537496,0.4549707602339181
0.1,3,100,0.9590925425465529,0.9052447552447551,0.9714511788634713,0.7896587907941898,0.9994623655913978,0.9717741935483872,0.9770105415800001,0.9468640959773958,0.6899379811804961,0.4602339181286549
0.1,3,128,0.9646248084828442,0.9024426277947404,0.9811737827468463,0.7822627806074325,0.9991039426523297,0.968548387096774,0.9800512187828814,0.9451753578247943,0.7347447961220416,0.4605263157894736
0.1,4,1,0.8695653440752908,0.8695754949276076,0.8165887934193059,0.7854355310318808,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,4,2,0.8695653440752908,0.8695754949276076,0.825324865501971,0.7848978966232786,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,4,4,0.8702666428711913,0.8695754949276076,0.8349352514249535,0.802465336728919,1.0,1.0,0.930581913010365,0.9302357016135845,0.005378528656971771,0.0
0.1,4,8,0.9234834026558666,0.9031517777996652,0.8571812675851573,0.7983764855687607,1.0,0.9830645161290322,0.957866406780839,0.9463200797003409,0.41331266039349873,0.3698830409356725
0.1,4,16,0.9396123644204224,0.9052447552447551,0.8865924640733894,0.8105086304470855,1.0,0.9782258064516128,0.9664491269125438,0.9470542264745114,0.5369653550042772,0.4178362573099415
0.1,4,32,0.9502096065733786,0.9010194031320793,0.9339074139866709,0.7986877475947934,0.999910394265233,0.9693548387096775,0.9721681768426619,0.9442884213005455,0.6188301967493585,0.4444444444444445
0.1,4,64,0.9613519593631553,0.9003299517384026,0.9733541733098064,0.788578805885682,0.9996415770609319,0.9685483870967742,0.978256500054685,0.944019941286833,0.7060521813515825,0.44444444444444436
0.1,4,100,0.9732737353797443,0.8968186742834631,0.9917857816752569,0.7767107621203546,0.9991039426523297,0.9637096774193548,0.9848544026777066,0.9419213727365703,0.8010479041916169,0.4497076023391813
0.1,4,128,0.9814551904487876,0.8961193735841624,0.997537739421311,0.7663259290699868,0.9989247311827956,0.9612903225806452,0.9894412814910829,0.9414165354072989,0.8649700598802396,0.4605263157894736
0.1,5,1,0.8695653440752908,0.8695754949276076,0.8386037784262503,0.7910865874363328,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,5,2,0.8695653440752908,0.8695754949276076,0.8425759416267311,0.7912151009243539,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.1,5,4,0.8699548735804663,0.8702797202797201,0.8475156078651708,0.8006472835314092,1.0,0.9991935483870968,0.9304265246744107,0.9305391188186899,0.0029833190761334475,0.01111111111111111
0.1,5,8,0.9320543872300853,0.9045454545454545,0.8707996465466404,0.7922903697415581,1.0,0.982258064516129,0.9624066484758707,0.9469679511745752,0.47902409466780715,0.38567251461988306
0.1,5,16,0.9430410981854737,0.9066384319905447,0.9029081014877567,0.8053728070175439,1.0,0.9774193548387096,0.9682926552465283,0.9477812099710894,0.563269888793841,0.433625730994152
0.1,5,32,0.9565993594646504,0.9010144784792672,0.9652518471761035,0.7828735144312393,1.0,0.9669354838709678,0.9756536364099118,0.9441781226566748,0.6672440832620473,0.460233918128655
0.1,5,64,0.9733515562969384,0.8996109524278537,0.9924197384161528,0.7739211941143181,0.9996415770609319,0.960483870967742,0.9849060776438625,0.9430925491348343,0.7980574565155404,0.49181286549707603
0.1,5,100,0.9861308192685078,0.8898010440263961,0.9993155282496963,0.7585656008300321,0.9988351254480285,0.9508064516129032,0.992080018933235,0.9373179643156024,0.9014435414884516,0.4809941520467837
0.1,5,128,0.99244214421515,0.88983551659608,0.9997869212931023,0.747404970760234,0.9986559139784946,0.9524193548387097,0.9956677044743986,0.9375248141498392,0.9510265183917881,0.4704678362573099
0.2,1,1,0.8695653440752908,0.8695754949276076,0.6139463584352033,0.6102292020373514,1.0,1.0,0.9302325969153813,0.9302357016135845,0.0,0.0
0.2,1,2,0.8845241390529888,0.880084704028366,0.7471910010623913,0.6907729673646481,1.0,1.0,0.9377772448280378,0.9355400331661775,0.11461006558311948,0.08011695906432748
0.2,1,4,0.8930959127628733,0.8919777405692899,0.8018717525266925,0.7779958970005658,1.0,1.0,0.9420949076352801,0.9416394703263009,0.18036783575705734,0.16988304093567252
0.2,1,8,0.9007318929786351,0.8940657933615681,0.8171383503474363,0.7890362667421241,0.999910394265233,0.9967741935483871,0.9460009598602991,0.9425779519138728,0.23950670088394638,0.20730994152046783
0.2,1,16,0.9093803342535869,0.9017728750123117,0.8508754173041526,0.8211127617430674,0.9997311827956988,0.9943548387096776,0.9504650468403311,0.9463698955316671,0.3069788993441688,0.2827485380116959
0.2,1,32,0.9160814922191222,0.9052743031616272,0.8583330906032278,0.8135729107715525,0.9991039426523297,0.9927419354838711,0.9539308878974854,0.9480951665628663,0.3625427715996578,0.3201754385964912
0.2,1,64,0.9206779646612908,0.9087905052693787,0.8719804422772478,0.8112549518958687,0.9985663082437277,0.9927419354838711,0.9563247412522768,0.9499258820701557,0.4013437410892501,0.34766081871345034
