Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22,,,
0.8278,0.4167,0.8318,0.5455,0.7708,0.5434,0.9333,0.4583,0.9379,4124,20,28,834,2694,37,11,2264,4650,22,26,308,,Valor crítico (95%),1.96
0.8212,0.3958,0.8253,0.5417,0.75,0.5397,0.9129,0.6458,0.9155,4092,19,29,866,2676,36,12,2282,4539,31,17,419,,Margen de error,0.458
0.8274,0.4375,0.8312,0.5404,0.875,0.5371,0.9361,0.6458,0.9389,4121,21,27,837,2663,42,6,2295,4655,31,17,303,,,
0.8146,0.3333,0.8193,0.531,0.75,0.5288,0.9123,0.5625,0.9157,4062,16,32,896,2622,36,12,2336,4540,27,21,418,,,
0.8198,0.25,0.8253,0.539,0.6458,0.5379,0.9309,0.6875,0.9332,4092,12,36,866,2667,31,17,2291,4627,33,15,331,,Rec_VC22,92.972
0.8188,0.375,0.8231,0.538,0.75,0.5359,0.9281,0.4167,0.933,4081,18,30,877,2657,36,12,2301,4626,20,28,332,,StdRecall,0.010679012382494
0.8186,0.3125,0.8235,0.5346,0.7708,0.5323,0.9231,0.5625,0.9266,4083,15,33,875,2639,37,11,2319,4594,27,21,364,,n,1000
0.8224,0.4167,0.8263,0.5431,0.8125,0.5405,0.9439,0.4792,0.9484,4097,20,28,861,2680,39,9,2278,4702,23,25,256,,Error estándar,0.000337700022898
0.8142,0.2917,0.8193,0.5374,0.7083,0.5357,0.9233,0.625,0.9262,4062,14,34,896,2656,34,14,2302,4592,30,18,366,,Valor crítico (95%),1.96
0.8222,0.4167,0.8261,0.5427,0.7917,0.5403,0.9411,0.4375,0.9459,4096,20,28,862,2679,38,10,2279,4690,21,27,268,,Margen de error,0.066
0.8238,0.375,0.8282,0.5384,0.7917,0.5359,0.9145,0.5625,0.9179,4106,18,30,852,2657,38,10,2301,4551,27,21,407,,,
0.8168,0.375,0.8211,0.5483,0.7292,0.5466,0.9301,0.7083,0.9322,4071,18,30,887,2710,35,13,2248,4622,34,14,336,,,
0.8306,0.375,0.835,0.5417,0.7708,0.5395,0.9401,0.6042,0.9433,4140,18,30,818,2675,37,11,2283,4677,29,19,281,,,
0.811,0.3333,0.8157,0.5348,0.7917,0.5323,0.9395,0.625,0.9425,4044,16,32,914,2639,38,10,2319,4673,30,18,285,,,
0.8242,0.2917,0.8294,0.54,0.7708,0.5377,0.9299,0.5417,0.9336,4112,14,34,846,2666,37,11,2292,4629,26,22,329,,,
0.82,0.3333,0.8247,0.5461,0.75,0.5442,0.9297,0.75,0.9314,4089,16,32,869,2698,36,12,2260,4618,36,12,340,,,
0.8212,0.3333,0.8259,0.5507,0.7708,0.5486,0.9385,0.4792,0.9429,4095,16,32,863,2720,37,11,2238,4675,23,25,283,,,
0.8306,0.3125,0.8356,0.5417,0.7292,0.5399,0.9421,0.5833,0.9455,4143,15,33,815,2677,35,13,2281,4688,28,20,270,,,
0.827,0.375,0.8314,0.536,0.75,0.5339,0.9323,0.5833,0.9357,4122,18,30,836,2647,36,12,2311,4639,28,20,319,,,
0.8244,0.3333,0.8292,0.5509,0.7292,0.5492,0.9309,0.7292,0.9328,4111,16,32,847,2723,35,13,2235,4625,35,13,333,,,
0.8222,0.3542,0.8267,0.5481,0.8125,0.5456,0.9343,0.5,0.9385,4099,17,31,859,2705,39,9,2253,4653,24,24,305,,,
0.8196,0.4167,0.8235,0.5443,0.7292,0.5426,0.9115,0.5625,0.9149,4083,20,28,875,2690,35,13,2268,4536,27,21,422,,,
0.8206,0.3125,0.8255,0.5519,0.8125,0.5494,0.9295,0.625,0.9324,4093,15,33,865,2724,39,9,2234,4623,30,18,335,,,
0.8178,0.2917,0.8229,0.5447,0.8542,0.5418,0.9357,0.625,0.9387,4080,14,34,878,2686,41,7,2272,4654,30,18,304,,,
0.8258,0.3958,0.83,0.5408,0.8125,0.5381,0.9081,0.625,0.9109,4115,19,29,843,2668,39,9,2290,4516,30,18,442,,,
0.8232,0.2917,0.8284,0.5471,0.75,0.5452,0.9315,0.625,0.9344,4107,14,34,851,2703,36,12,2255,4633,30,18,325,,,
0.826,0.3958,0.8302,0.5463,0.75,0.5444,0.9095,0.7083,0.9115,4116,19,29,842,2699,36,12,2259,4519,34,14,439,,,
0.8274,0.375,0.8318,0.5469,0.7917,0.5446,0.9353,0.6042,0.9385,4124,18,30,834,2700,38,10,2258,4653,29,19,305,,,
0.8226,0.3333,0.8273,0.5435,0.8542,0.5405,0.9369,0.625,0.9399,4102,16,32,856,2680,41,7,2278,4660,30,18,298,,,
0.8196,0.2917,0.8247,0.5449,0.7292,0.5432,0.9149,0.6667,0.9173,4089,14,34,869,2693,35,13,2265,4548,32,16,410,,,
0.8242,0.3542,0.8288,0.5402,0.75,0.5381,0.9347,0.5625,0.9383,4109,17,31,849,2668,36,12,2290,4652,27,21,306,,,
0.8176,0.2708,0.8229,0.5483,0.625,0.5476,0.9471,0.7083,0.9494,4080,13,35,878,2715,30,18,2243,4707,34,14,251,,,
0.8138,0.25,0.8193,0.5463,0.75,0.5444,0.9403,0.5625,0.9439,4062,12,36,896,2699,36,12,2259,4680,27,21,278,,,
0.8166,0.375,0.8209,0.5396,0.5833,0.5391,0.9251,0.5833,0.9284,4070,18,30,888,2673,28,20,2285,4603,28,20,355,,,
0.828,0.375,0.8324,0.5447,0.8125,0.5422,0.9293,0.5417,0.933,4127,18,30,831,2688,39,9,2270,4626,26,22,332,,,
0.8276,0.3333,0.8324,0.5519,0.7292,0.5502,0.9261,0.5208,0.93,4127,16,32,831,2728,35,13,2230,4611,25,23,347,,,
0.8198,0.3125,0.8247,0.5459,0.875,0.5428,0.9277,0.6667,0.9302,4089,15,33,869,2691,42,6,2267,4612,32,16,346,,,
0.8208,0.4167,0.8247,0.5451,0.8333,0.5424,0.9261,0.6458,0.9288,4089,20,28,869,2689,40,8,2269,4605,31,17,353,,,
0.8198,0.375,0.8241,0.5372,0.7917,0.5347,0.9185,0.625,0.9213,4086,18,30,872,2651,38,10,2307,4568,30,18,390,,,
0.8236,0.3333,0.8284,0.5587,0.8125,0.5563,0.9179,0.625,0.9207,4107,16,32,851,2758,39,9,2200,4565,30,18,393,,,
0.823,0.5208,0.8259,0.5439,0.8333,0.5411,0.9259,0.4583,0.9304,4095,25,23,863,2683,40,8,2275,4613,22,26,345,,,
0.8276,0.3958,0.8318,0.5416,0.7917,0.5391,0.9353,0.5208,0.9393,4124,19,29,834,2673,38,10,2285,4657,25,23,301,,,
0.8186,0.2708,0.8239,0.5412,0.6458,0.5401,0.9289,0.5417,0.9326,4085,13,35,873,2678,31,17,2280,4624,26,22,334,,,
0.8154,0.375,0.8197,0.5382,0.875,0.5349,0.9317,0.5208,0.9357,4064,18,30,894,2652,42,6,2306,4639,25,23,319,,,
0.8318,0.3333,0.8366,0.5467,0.7708,0.5446,0.9349,0.5208,0.9389,4148,16,32,810,2700,37,11,2258,4655,25,23,303,,,
0.8252,0.3958,0.8294,0.5459,0.7917,0.5436,0.9317,0.4583,0.9363,4112,19,29,846,2695,38,10,2263,4642,22,26,316,,,
0.8292,0.3125,0.8342,0.5477,0.7708,0.5456,0.9259,0.625,0.9288,4136,15,33,822,2705,37,11,2253,4605,30,18,353,,,
0.8246,0.3958,0.8288,0.5366,0.7708,0.5343,0.9343,0.5208,0.9383,4109,19,29,849,2649,37,11,2309,4652,25,23,306,,,
0.8284,0.2708,0.8338,0.54,0.6875,0.5385,0.9213,0.625,0.9242,4134,13,35,824,2670,33,15,2288,4582,30,18,376,,,
0.8176,0.375,0.8219,0.5489,0.7083,0.5474,0.9409,0.5625,0.9445,4075,18,30,883,2714,34,14,2244,4683,27,21,275,,,
0.8288,0.375,0.8332,0.5465,0.8125,0.544,0.9195,0.6458,0.9221,4131,18,30,827,2697,39,9,2261,4572,31,17,386,,,
0.828,0.2083,0.834,0.5495,0.7292,0.5478,0.9243,0.625,0.9272,4135,10,38,823,2716,35,13,2242,4597,30,18,361,,,
0.8282,0.3958,0.8324,0.5441,0.7917,0.5418,0.9295,0.5,0.9336,4127,19,29,831,2686,38,10,2272,4629,24,24,329,,,
0.8186,0.2917,0.8237,0.5427,0.75,0.5407,0.9171,0.5833,0.9203,4084,14,34,874,2681,36,12,2277,4563,28,20,395,,,
0.8296,0.3542,0.8342,0.5465,0.875,0.5434,0.9209,0.5208,0.9248,4136,17,31,822,2694,42,6,2264,4585,25,23,373,,,
0.814,0.4375,0.8177,0.5425,0.7708,0.5403,0.9209,0.5625,0.9244,4054,21,27,904,2679,37,11,2279,4583,27,21,375,,,
0.8244,0.3125,0.8294,0.5499,0.7708,0.5478,0.9237,0.5417,0.9274,4112,15,33,846,2716,37,11,2242,4598,26,22,360,,,
0.8156,0.375,0.8199,0.5412,0.7708,0.5389,0.9357,0.5417,0.9395,4065,18,30,893,2672,37,11,2286,4658,26,22,300,,,
0.8266,0.375,0.831,0.5475,0.8125,0.545,0.9167,0.4792,0.9209,4120,18,30,838,2702,39,9,2256,4566,23,25,392,,,
0.826,0.3542,0.8306,0.541,0.8333,0.5381,0.9393,0.6042,0.9425,4118,17,31,840,2668,40,8,2290,4673,29,19,285,,,
0.8284,0.3125,0.8334,0.5509,0.7917,0.5486,0.9233,0.4375,0.928,4132,15,33,826,2720,38,10,2238,4601,21,27,357,,,
0.8284,0.3333,0.8332,0.5445,0.7708,0.5424,0.9269,0.6875,0.9292,4131,16,32,827,2689,37,11,2269,4607,33,15,351,,,
0.8214,0.2917,0.8265,0.5457,0.6875,0.5444,0.9295,0.5833,0.9328,4098,14,34,860,2699,33,15,2259,4625,28,20,333,,,
0.8204,0.2917,0.8255,0.5455,0.7083,0.544,0.9181,0.5417,0.9217,4093,14,34,865,2697,34,14,2261,4570,26,22,388,,,
0.8246,0.375,0.829,0.5459,0.8333,0.5432,0.9149,0.625,0.9177,4110,18,30,848,2693,40,8,2265,4550,30,18,408,,,
0.8264,0.2917,0.8316,0.5451,0.7708,0.543,0.9203,0.6042,0.9234,4123,14,34,835,2692,37,11,2266,4578,29,19,380,,,
0.8108,0.25,0.8163,0.5439,0.7292,0.5422,0.9347,0.5,0.9389,4047,12,36,911,2688,35,13,2270,4655,24,24,303,,,
0.8132,0.2083,0.8191,0.5429,0.6875,0.5415,0.9453,0.6458,0.9482,4061,10,38,897,2685,33,15,2273,4701,31,17,257,,,
0.8236,0.3125,0.8286,0.534,0.7083,0.5323,0.9287,0.5417,0.9324,4108,15,33,850,2639,34,14,2319,4623,26,22,335,,,
0.8258,0.2917,0.831,0.533,0.6458,0.5319,0.9223,0.625,0.9252,4120,14,34,838,2637,31,17,2321,4587,30,18,371,,,
0.8218,0.375,0.8261,0.5296,0.7708,0.5272,0.9259,0.6042,0.929,4096,18,30,862,2614,37,11,2344,4606,29,19,352,,,
0.825,0.3125,0.83,0.5589,0.7708,0.5569,0.9249,0.6042,0.928,4115,15,33,843,2761,37,11,2197,4601,29,19,357,,,
0.8214,0.3125,0.8263,0.5356,0.7083,0.5339,0.9181,0.6458,0.9207,4097,15,33,861,2647,34,14,2311,4565,31,17,393,,,
0.8206,0.2708,0.8259,0.5342,0.7083,0.5325,0.9305,0.5833,0.9338,4095,13,35,863,2640,34,14,2318,4630,28,20,328,,,
0.8266,0.4792,0.83,0.534,0.9167,0.5303,0.9213,0.5833,0.9246,4115,23,25,843,2629,44,4,2329,4584,28,20,374,,,
0.8214,0.3125,0.8263,0.5487,0.7917,0.5464,0.9175,0.2917,0.9236,4097,15,33,861,2709,38,10,2249,4579,14,34,379,,,
0.827,0.3125,0.832,0.5489,0.6875,0.5476,0.9091,0.625,0.9119,4125,15,33,833,2715,33,15,2243,4521,30,18,437,,,
