Accuracy_SIFT,Specifity_SIFT,Recall_SIFT,Accuracy_POLYPHEN,Specifity_POLYPHEN,Recall_POLYPHEN,Accuracy_VC22,Specifity_VC22,Recall_VC22,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_VC22,TN_VC22,FP_VC22,FN_VC22
0.82,0.4375,0.8237,0.5447,0.8333,0.542,0.9101,0.5833,0.9133,4084,21,27,874,2687,40,8,2271,4528,28,20,430
0.8282,0.3958,0.8324,0.5372,0.7292,0.5353,0.9289,0.75,0.9306,4127,19,29,831,2654,35,13,2304,4614,36,12,344
0.823,0.375,0.8273,0.5491,0.8333,0.5464,0.9145,0.5833,0.9177,4102,18,30,856,2709,40,8,2249,4550,28,20,408
0.825,0.2083,0.831,0.5394,0.8125,0.5367,0.9155,0.5625,0.9189,4120,10,38,838,2661,39,9,2297,4556,27,21,402
0.8174,0.4167,0.8213,0.5457,0.7083,0.5442,0.9179,0.5833,0.9211,4072,20,28,886,2698,34,14,2260,4567,28,20,391
0.8164,0.25,0.8219,0.5447,0.6875,0.5434,0.9295,0.3958,0.9347,4075,12,36,883,2694,33,15,2264,4634,19,29,324
0.8166,0.2708,0.8219,0.534,0.7708,0.5317,0.9101,0.6042,0.9131,4075,13,35,883,2636,37,11,2322,4527,29,19,431
0.8208,0.3333,0.8255,0.5453,0.7708,0.5432,0.9197,0.625,0.9225,4093,16,32,865,2693,37,11,2265,4574,30,18,384
0.8126,0.2292,0.8183,0.5346,0.7083,0.5329,0.9289,0.5833,0.9322,4057,11,37,901,2642,34,14,2316,4622,28,20,336
0.827,0.3125,0.832,0.5408,0.7708,0.5385,0.9343,0.6667,0.9369,4125,15,33,833,2670,37,11,2288,4645,32,16,313
0.825,0.375,0.8294,0.5553,0.8125,0.5528,0.9393,0.5625,0.9429,4112,18,30,846,2741,39,9,2217,4675,27,21,283
0.82,0.2917,0.8251,0.5467,0.7917,0.5444,0.9047,0.6458,0.9072,4091,14,34,867,2699,38,10,2259,4498,31,17,460
0.8338,0.3333,0.8386,0.5396,0.75,0.5375,0.9197,0.6042,0.9228,4158,16,32,800,2665,36,12,2293,4575,29,19,383
0.8222,0.2917,0.8273,0.5483,0.7708,0.5462,0.9243,0.5417,0.928,4102,14,34,856,2708,37,11,2250,4601,26,22,357
0.8156,0.3542,0.8201,0.5326,0.75,0.5305,0.9287,0.6458,0.9314,4066,17,31,892,2630,36,12,2328,4618,31,17,340
0.822,0.3333,0.8267,0.5441,0.75,0.5422,0.9289,0.5,0.933,4099,16,32,859,2688,36,12,2270,4626,24,24,332
0.8258,0.5,0.829,0.5469,0.8125,0.5444,0.9187,0.5833,0.9219,4110,24,24,848,2699,39,9,2259,4571,28,20,387
0.8238,0.3542,0.8284,0.5427,0.6875,0.5413,0.9327,0.6458,0.9355,4107,17,31,851,2684,33,15,2274,4638,31,17,320
0.817,0.2917,0.8221,0.5453,0.6875,0.544,0.9063,0.6667,0.9086,4076,14,34,882,2697,33,15,2261,4505,32,16,453
0.8268,0.25,0.8324,0.533,0.6875,0.5315,0.9353,0.4375,0.9401,4127,12,36,831,2635,33,15,2323,4661,21,27,297
0.8268,0.25,0.8324,0.5461,0.7708,0.544,0.9389,0.7083,0.9411,4127,12,36,831,2697,37,11,2261,4666,34,14,292
0.8208,0.3542,0.8253,0.5455,0.7708,0.5434,0.9283,0.6042,0.9314,4092,17,31,866,2694,37,11,2264,4618,29,19,340
0.8154,0.3125,0.8203,0.5374,0.8125,0.5347,0.9011,0.4375,0.9056,4067,15,33,891,2651,39,9,2307,4490,21,27,468
0.8204,0.2917,0.8255,0.5481,0.7708,0.546,0.9065,0.6042,0.9094,4093,14,34,865,2707,37,11,2251,4509,29,19,449
0.8218,0.4167,0.8257,0.5453,0.7708,0.5432,0.9211,0.5833,0.9244,4094,20,28,864,2693,37,11,2265,4583,28,20,375
0.8204,0.375,0.8247,0.538,0.7917,0.5355,0.9093,0.6667,0.9117,4089,18,30,869,2655,38,10,2303,4520,32,16,438
0.8212,0.3542,0.8257,0.5304,0.8125,0.5276,0.9313,0.6042,0.9344,4094,17,31,864,2616,39,9,2342,4633,29,19,325
0.8156,0.2917,0.8207,0.5507,0.7292,0.549,0.9383,0.7083,0.9405,4069,14,34,889,2722,35,13,2236,4663,34,14,295
0.823,0.3333,0.8278,0.5386,0.7708,0.5363,0.9251,0.6042,0.9282,4104,16,32,854,2659,37,11,2299,4602,29,19,356
0.8196,0.3333,0.8243,0.5394,0.7083,0.5377,0.9325,0.6875,0.9349,4087,16,32,871,2666,34,14,2292,4635,33,15,323
0.8204,0.2083,0.8263,0.541,0.6667,0.5397,0.9085,0.6458,0.9111,4097,10,38,861,2676,32,16,2282,4517,31,17,441
0.8272,0.3542,0.8318,0.5531,0.7708,0.551,0.9217,0.6042,0.9248,4124,17,31,834,2732,37,11,2226,4585,29,19,373
0.8206,0.3333,0.8253,0.5274,0.7292,0.5254,0.9041,0.6875,0.9062,4092,16,32,866,2605,35,13,2353,4493,33,15,465
0.8262,0.5,0.8294,0.5519,0.8333,0.5492,0.9175,0.6667,0.9199,4112,24,24,846,2723,40,8,2235,4561,32,16,397
0.8216,0.2708,0.8269,0.5384,0.7708,0.5361,0.9333,0.4792,0.9377,4100,13,35,858,2658,37,11,2300,4649,23,25,309
