N_iteration,Accuracy,Specifity,F1_del,F1_ben,MCC,AP,Recall,ROC_AUC,Precision,Kappa
101,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
102,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
103,0.983,0.996,0.992,0.29,0.303,0.109,0.214,0.605,0.45,0.283
104,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
105,0.981,0.995,0.991,0.222,0.227,0.069,0.167,0.581,0.333,0.214
106,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
107,0.982,0.996,0.991,0.233,0.247,0.078,0.167,0.581,0.389,0.226
108,0.984,0.998,0.992,0.222,0.261,0.085,0.143,0.57,0.5,0.217
109,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
110,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
111,0.983,0.995,0.991,0.286,0.295,0.104,0.214,0.605,0.429,0.278
112,0.986,0.998,0.993,0.296,0.351,0.14,0.19,0.594,0.667,0.291
113,0.985,0.998,0.992,0.259,0.306,0.111,0.167,0.582,0.583,0.254
114,0.981,0.995,0.99,0.194,0.198,0.057,0.143,0.569,0.3,0.185
115,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
116,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
117,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
118,0.984,0.997,0.992,0.218,0.251,0.08,0.143,0.57,0.462,0.212
119,0.984,0.996,0.992,0.295,0.311,0.114,0.214,0.605,0.474,0.288
120,0.983,0.997,0.992,0.214,0.241,0.075,0.143,0.57,0.429,0.208
121,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
122,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
123,0.982,0.996,0.991,0.203,0.217,0.064,0.143,0.569,0.353,0.196
124,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
125,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
126,0.984,0.997,0.992,0.218,0.251,0.08,0.143,0.57,0.462,0.212
127,0.982,0.995,0.991,0.254,0.261,0.086,0.19,0.593,0.381,0.246
128,0.983,0.997,0.991,0.211,0.232,0.071,0.143,0.57,0.4,0.204
129,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
130,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
131,0.983,0.996,0.991,0.237,0.255,0.082,0.167,0.581,0.412,0.23
132,0.982,0.996,0.991,0.203,0.217,0.064,0.143,0.569,0.353,0.196
133,0.984,0.997,0.992,0.305,0.33,0.126,0.214,0.606,0.529,0.299
134,0.981,0.995,0.991,0.197,0.204,0.059,0.143,0.569,0.316,0.189
135,0.985,0.998,0.992,0.259,0.306,0.111,0.167,0.582,0.583,0.254
136,0.982,0.996,0.991,0.233,0.247,0.078,0.167,0.581,0.389,0.226
137,0.984,0.998,0.992,0.196,0.252,0.08,0.119,0.559,0.556,0.192
138,0.984,0.997,0.992,0.25,0.282,0.097,0.167,0.582,0.5,0.244
139,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
140,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
141,0.983,0.997,0.991,0.182,0.207,0.06,0.119,0.558,0.385,0.176
142,0.982,0.995,0.991,0.23,0.24,0.075,0.167,0.581,0.368,0.222
143,0.981,0.995,0.99,0.194,0.198,0.057,0.143,0.569,0.3,0.185
144,0.984,0.997,0.992,0.3,0.321,0.12,0.214,0.605,0.5,0.293
145,0.984,0.997,0.992,0.271,0.293,0.103,0.19,0.593,0.471,0.264
146,0.984,0.998,0.992,0.222,0.261,0.085,0.143,0.57,0.5,0.217
147,0.984,0.997,0.992,0.246,0.272,0.091,0.167,0.582,0.467,0.239
148,0.984,0.998,0.992,0.255,0.294,0.103,0.167,0.582,0.538,0.249
149,0.984,0.997,0.992,0.276,0.302,0.108,0.19,0.594,0.5,0.269
150,0.983,0.997,0.992,0.241,0.263,0.086,0.167,0.582,0.438,0.235
151,0.983,0.996,0.992,0.267,0.284,0.098,0.19,0.593,0.444,0.26
152,0.983,0.997,0.992,0.214,0.241,0.075,0.143,0.57,0.429,0.208
153,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
154,0.984,0.998,0.992,0.255,0.294,0.103,0.167,0.582,0.538,0.249
155,0.982,0.996,0.991,0.207,0.224,0.067,0.143,0.569,0.375,0.2
156,0.983,0.996,0.991,0.262,0.276,0.093,0.19,0.593,0.421,0.255
157,0.985,0.997,0.992,0.31,0.341,0.133,0.214,0.606,0.562,0.304
158,0.985,0.998,0.992,0.286,0.324,0.122,0.19,0.594,0.571,0.28
159,0.982,0.996,0.991,0.175,0.192,0.054,0.119,0.558,0.333,0.168
160,0.984,0.997,0.992,0.305,0.33,0.126,0.214,0.606,0.529,0.299
161,0.982,0.995,0.991,0.2,0.21,0.061,0.143,0.569,0.333,0.192
162,0.983,0.997,0.992,0.214,0.241,0.075,0.143,0.57,0.429,0.208
163,0.984,0.998,0.992,0.222,0.261,0.085,0.143,0.57,0.5,0.217
164,0.982,0.995,0.991,0.254,0.261,0.086,0.19,0.593,0.381,0.246
