Accuracy_SIFT,Precision_SIFT,Recall_SIFT,F1_SIFT,APS_SIFT,AUC_SIFT,Accuracy_POLYPHEN,Precision_POLYPHEN,Recall_POLYPHEN,F1_POLYPHEN,APS_POLYPHEN,AUC_POLYPHEN,Accuracy_CADD,Precision_CADD,Recall_CADD,F1_CADD,APS_CADD,AUC_CADD,Accuracy_VC10B,Precision_VC10B,Recall_VC10B,F1_VC10B,APS_VC10B,AUC_VC10B,TP_SIFT,TN_SIFT,FP_SIFT,FN_SIFT,TP_POLYPHEN,TN_POLYPHEN,FP_POLYPHEN,FN_POLYPHEN,TP_CADD,TN_CADD,FP_CADD,FN_CADD,TP_VC10B,TN_VC10B,FP_VC10B,FN_VC10B
0.8234,0.0246,0.4583,0.0467,0.01635476006544466,0.6426148742325213,0.5452,0.0158,0.7708,0.031,0.014325723247162053,0.6569555852644089,0.8511,0.0413,0.6667,0.0778,0.030665983152645137,0.7597544068132303,0.9904,0.4706,0.1667,0.2462,0.08627912612955718,0.5824420677361855,22,4175,874,26,37,2742,2307,11,32,4306,743,16,8,5040,9,40
0.8187,0.0208,0.3958,0.0395,0.01391810420511658,0.6092852545058427,0.5399,0.0172,0.8542,0.0337,0.016094177949874163,0.6955523370964547,0.8468,0.0402,0.6667,0.0758,0.02990614451042498,0.7575757575757576,0.9904,0.4444,0.0833,0.1403,0.045669565975628365,0.5411715191126956,19,4154,895,29,41,2711,2338,7,32,4284,765,16,4,5044,5,44
0.8228,0.0202,0.375,0.0383,0.013461572761160754,0.6010472370766489,0.5442,0.0149,0.7292,0.0292,0.013433604490789137,0.6358251633986929,0.846,0.033,0.5417,0.0622,0.0221658631173734,0.695273816597346,0.9906,0.5,0.0833,0.1428,0.05029919560525799,0.5412705486234898,18,4176,873,30,35,2739,2310,13,26,4286,763,22,4,5045,4,44
0.8238,0.0246,0.4583,0.0467,0.01637993617335986,0.6428129332541097,0.5348,0.015,0.75,0.0294,0.013627812504223902,0.6413893840364429,0.8442,0.0395,0.6667,0.0746,0.02947654999188581,0.7562883739354327,0.9906,0.5,0.1667,0.25,0.0911810869138709,0.5825410972469797,22,4177,872,26,36,2690,2359,12,32,4271,778,16,8,5041,8,40
0.8217,0.0285,0.5417,0.0542,0.019741602183790005,0.682994157258863,0.5399,0.016,0.7917,0.0314,0.014639280718494414,0.6645994256288373,0.8483,0.0406,0.6667,0.0765,0.030177546721610885,0.7583679936621112,0.9908,0.5263,0.2083,0.2985,0.11710448870852823,0.6032754010695186,26,4162,887,22,38,2714,2335,10,32,4292,757,16,10,5040,9,38
0.8287,0.0242,0.4375,0.0459,0.015894119480011647,0.6349710338680926,0.5425,0.0153,0.75,0.03,0.013814427941733428,0.6452515349574173,0.8448,0.0362,0.6042,0.0683,0.02560138249299421,0.725632551000198,0.991,0.5714,0.1667,0.2581,0.10308584881863281,0.5827391562685681,21,4203,846,27,36,2729,2320,12,29,4277,772,19,8,5043,6,40
0.8246,0.0226,0.4167,0.0429,0.014898995602689317,0.6225737769855417,0.5511,0.016,0.7708,0.0313,0.014483470753806574,0.6599264705882354,0.8481,0.0382,0.625,0.072,0.027386450943302977,0.7376336898395722,0.9904,0.4667,0.1458,0.2222,0.07609950297560657,0.5721244305803129,20,4183,866,28,37,2772,2277,11,30,4293,756,18,7,5041,8,41
0.8205,0.0273,0.5208,0.0519,0.018711840351702598,0.6720823430382254,0.5415,0.0161,0.7917,0.0316,0.014682163906057578,0.6653916617151912,0.8544,0.0446,0.7083,0.0839,0.034352138075147906,0.782073182808477,0.99,0.4,0.125,0.1905,0.05824014125956445,0.5616087344028521,25,4157,892,23,38,2722,2327,10,34,4321,728,14,6,5040,9,42
0.8158,0.0256,0.5,0.0487,0.017488204863977494,0.6593879976232918,0.534,0.0158,0.7917,0.031,0.014481011775630995,0.6616285403050108,0.8456,0.041,0.6875,0.0774,0.031126137406366182,0.7672992176668647,0.991,0.5625,0.1875,0.2812,0.11312030974102413,0.5930567934244405,24,4134,915,24,38,2684,2365,10,33,4277,772,15,9,5042,7,39
0.8207,0.0242,0.4583,0.046,0.016181625907935503,0.6412284610814022,0.5413,0.0157,0.7708,0.0308,0.014222782544856517,0.6549749950485245,0.8481,0.0393,0.6458,0.0741,0.028742444171897676,0.7479513269954448,0.9896,0.3333,0.1042,0.1588,0.04315855732130011,0.5510930382253911,22,4161,888,26,37,2722,2327,11,31,4292,757,17,5,5039,10,43
